"Agency","Last_Risk_Assessment","Program_Name"
"ED","2025","DC Opportunity Scholarship Program"
"DFC","2025","Debt Financing Program "
"USDA","2023","Department Administration (DA) Agriculture Buildings and Facilities"
"DOL","2024","Department of Labor - Departmental Management"
"DOL","2024","Department of Labor - Office of Inspector General"
"TREASURY","2021","Departmental Offices - Air Carrier Worker Support"
"TREASURY","2023","Departmental Offices - Contributions of the International Monetary Fund Facilities and Trust Funds "
"TREASURY","2025","Departmental Offices - Coronavirus Capital Projects Fund"
"TREASURY","2025","Departmental Offices - Cybersecurity Enhancement Account"
"TREASURY","2021","Departmental Offices - Economic Stabilization Direct Loan Financing"
"TREASURY","2022","Departmental Offices - Economic Stabilization Program"
"TREASURY","2023","Departmental Offices - Emergency Capital Investment Fund"
"TREASURY","2022","Departmental Offices - Emergency Rental Assistance"
"TREASURY","2021","Departmental Offices - Exchange Stabilization Fund"
"TREASURY","2025","Departmental Offices - Federal Research Fund"
"TREASURY","2024","Departmental Offices - Homeowners Assistance Fund"
"TREASURY","2023","Departmental Offices - International Affairs Technical Assistance"
"TREASURY","2024","Departmental Offices - Local Assistance and Tribal Consistency Fund"
"TREASURY","2025","Departmental Offices - Office of Terrorism and Financial Intelligence"
"TREASURY","2022","Departmental Offices - Pandemic Relief for Aviation Workers"
"TREASURY","2025","Departmental Offices - Salaries and Expenses"
"TREASURY","2023","Departmental Offices - State Small Business Credit Initiative- Technical Assistance Grant Program"
"TREASURY","2022","Departmental Offices - Transportation Services Economic Relief"
"TREASURY","2024","Departmental Offices - Treasury Forfeiture Fund- Equitable Sharing"
"TREASURY","2022","Departmental Offices- Coronavirus Relief Fund -Coronavirus State and Local Fiscal Recovery Funds"
"DOI","2025","Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior"
"DOI","2025","Departmental Operations, Office of the Secretary, Interior"
"DOI","2025","Departmental Operations, Office of the Secretary, Interior, Bureau of Land Management, Interior"
"DOI","2025","Departmental Operations, Office of the Secretary, Interior, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, National Park Service, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Departmental Operations, Office of the Secretary, U.S. Geological Survey, Interior"
"VA","2023","Dependency and Indemnity Compensation"
"STATE","2025","Diplomatic and Support Programs"
"STATE","2025","Diplomatic Programs"
"STATE","2025","Diplomatic Programs, Diplomatic Policy and Support"
"STATE","2025","Diplomatic Programs, Other Operations Programs"
"STATE","2025","Diplomatic Programs, Terrorism Related"
"ED","2022","Disability Innovation Fund (DIF)"
"GSA","2024","Disaster Emergency Funds"
"ED","2025","Disaster Recovery Assistance for Education"
"EPA","2021","Disaster Relief - Hurricane Sandy Fund (Sandy)"
"NASA","2023","Disaster Relief Appropriation"
"NASA","2023","Discovery"
"SEC","2025","Disgorgement & Penalty Distributions"
"TREASURY","2025","District of Columbia (DC) Pensions - DC Federal Pension Fund"
"TREASURY","2025","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund"
"USAGM","2023","Domestic Payroll"
"DOI","2025","Donations, National Park Service"
"DOI","2022","Donations, National Park Service, Interior"
"USAID","2024","DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)"
"USAID","2024","DR.2 Democracy, Human Rights and Governance/Good Governance"
"USAID","2024","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building"
"USAID","2024","DR.4 Democracy, Human Rights and Governance/Civil Society"
"USAID","2024","DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information"
"USAID","2024","DR.6 Democracy, Human Rights and Governance/Human Rights"
"EPA","2025","Drinking Water State Revolving Fund"
"MCC","2023","Due Diligence"
"NASA","2023","Early Stage Innovation and Partnerships"
"NASA","2023","Earth Science Data Systems"
"NASA","2023","Earth Science Research"
"NASA","2023","Earth Science Technology"
"NASA","2023","Earth System Science Pathfinder"
"NASA","2023","Earth Systematic Missions"
"DOC","2021","Economic Development Administration (EDA)"
"DOC","2025","Economic Development Administration (EDA) - Grants"
"DOC","2021","Economic Development Administration (EDA) - Salaries and Expenses"
"DOC","2024","Economic Development Adminsitration (EDA) - Salaries and Expenses "
"STATE","2025","Economic Support Fund"
"VA","2021","Education (Reporting Fees)"
"DOI","2025","Education Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"ED","2025","Education for Homeless Children and Youth"
"ED","2025","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)"
"ED","2025","Education Research, Development and Dissemination"
"VA","2024","Education Service (Chapter 1606)"
"VA","2024","Education Service (Chapter 33)"
"VA","2023","Education Service (State Approving Agencies)"
"VA","2025","Education Service Survivor and Dependents Education Assistance (Chapter 35)"
"ED","2021","Education Stabilization Fund"
"STATE","2025","Educational Programs"
"USAID","2024","EG.1 Economic Growth/Macroeconomic Foundation for Growth"
"USAID","2024","EG.2 Economic Growth/Trade and Investment"
"USAID","2024","EG.3 Economic Growth/Agriculture"
"USAID","2024","EG.4 Economic Growth/Financial Sector"
"USAID","2024","EG.5 Economic Growth/Private Sector Productivity"
"USAID","2024","EG.6 Economic Growth/Workforce Development"
"USAID","2024","EG.7 Economic Growth/Modern Energy Services"
"USAID","2022","EG.8 Economic Growth/Information and Communications Technology Services"
"EAC","2023","Election Security Grants"
"STATE","2025","Embassy Operations Programs"
"USDA","2023","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program"
"ED","2022","Emergency Assistance to Institutions of Higher Education"
"OPM","2022","Emergency Federal Employee Leave Fund"
"USDA","2024","Emergency Food Assistance Program (Food Commodities)"
"USDA","2024","Emergency Grain Storage Facility Program"
"USDA","2023","Emergency Relief Program"
"USDA","2023","Emergency Watershed Protection Program"
"USDA","2024","Emerging Markets Program"
"NRC","2024","Employee"
"DOL","2024","Employee Benefits Security Administration"
"GSA","2023","Employee Payments"
"RRB","2023","Employee Payments – Railroad Retirement Board"
"DOL","2024","Employment & Training Administration - Adult Employment and Training Activities"
"DOL","2024","Employment & Training Administration - Apprenticeship"
"DOL","2025","Employment & Training Administration - Community Projects"
"DOL","2024","Employment & Training Administration - Community Service Employment for Older Americans"
"DOL","2024","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula"
"DOL","2025","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves Demos"
"DOL","2025","Employment & Training Administration - Employment Service"
"DOL","2025","Employment & Training Administration - H-1B Job Training Grants"
"DOL","2025","Employment & Training Administration - Indian and Native American Program"
"DOL","2025","Employment & Training Administration - Job Corps"
"DOL","2024","Employment & Training Administration - Migrant and Seasonal Farmworker"
"DOL","2025","Employment & Training Administration - Permanent Labor Certification for Foreign Workers"
"DOL","2024","Employment & Training Administration - Reintegration of Ex-Offenders"
"DOL","2025","Employment & Training Administration - Temporary Labor Certification for Foreign Workers"
"DOL","2025","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances"
"DOL","2024","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Emergency Unemployment Compensation"
"DOL","2025","Employment & Training Administration - WIOA Dislocated Worker National Reserve Technical Assistance and Training"
"DOL","2025","Employment & Training Administration - WIOA National Dislocated Worker Grants / WIA National Emergency Grants"
"DOL","2025","Employment & Training Administration - Work Opportunity Tax Credit Program (WOTC)"
"DOL","2024","Employment & Training Administration - Youth Activities"
"DOL","2024","Employment & Training Administration - YouthBuild"
"DOL","2021","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Emergency Unemployment Compensation"
"DOL","2021","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Unemployment Assistance"
"DOI","2025","Energy Community Revitalization Program, Department-Wide Programs, Interior"
"DOI","2025","Energy Community Revitalization Program, Department-Wide Programs, Interior, Bureau of Land Management, Interior"
"DOI","2025","Energy Community Revitalization Program, Department-Wide Programs, Interior, Bureau of Safety and Environmental Enforcement, Interior"
"ED","2025","English Language Acquisition State Grants"
"NASA","2023","Enhanced Use Lease Program"
"EPA","2025","Environmental and Climate Justice Community Change Grants Program"
"NASA","2023","Environmental Compliance and Restoration"
"EPA","2025","Environmental Justice Collaborative Problem- Solving Cooperative Agreement Program"
"EPA","2025","Environmental Justice Government-to-Government (EJG2G) Program"
"EPA","2025","Environmental Justice Small Grant Program"
"EPA","2025","Environmental Justice Thriving Communities Grantmaking Program (EJ TCGM)"
"VA","2023","Equal Access to Justice Act"
"VA","2025","Equipment"
"DFC","2025","Equity Program"
"USAID","2024","ES.1 Education and Social Services/Basic Education"
"USAID","2024","ES.2 Education and Social Services/Higher Education"
"USAID","2024","ES.3 Education and Social Services//Social Policies, Regulations, and Systems"
"USAID","2024","ES.4 Education and Social Services/Social Services"
"USAID","2024","ES.5 Education and Social Services/Social Assistance"
"NASA","2023","Exoplanet Exploration"
"NASA","2023","Exploration CoF"
"NASA","2023","Exploration Ground Systems"
"NASA","2024","Exploration Operations"
"USDA","2024","Extension Activities"
"VA","2023","Facility Maintenance and Operations"
"HUD","2023","Fair Housing and Equal Opportunity - Fair Housing Assistance Program"
"HUD","2023","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program"
"USDA","2025","Farm Service Agency (FSA) Discrimination Financial Assistance Program"
"USDA","2023","Farm Service Agency (FSA) Emergency Forest Restoration Program"
"USDA","2024","Farm Service Agency (FSA) Salaries and Expenses"
"USDA","2023","Farm Storage Facility Loans"
"FCC","2023","FCC Affordable Connectivity Program (ACP)"
"FCC","2023","FCC Emergency Connectivity Fund (ECF)"
"FCC","2025","FCC Secured & Trusted Communications Network Reimbursement Program (STCNRP)"
"DOI","2025","Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service"
"DOI","2022","Federal Aid-Highways (Liquidation of Contract Authorization) DOT, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Federal Aid-Highways (Liquidation of Contract Authorization), Bureau of Indian Affairs, Interior"
"DOI","2022","Federal Aid-Highways (Liquidation of Contract Authorization), National Park Service, Interior"
"DOT","2022","Federal Aviation Administration Airport Concessionaire Relief"
"DOT","2023","Federal Aviation Administration Airport Response Grant Program"
"DOT","2023","Federal Aviation Administration Facilities and Equipment"
"DOT","2023","Federal Aviation Administration Franchise Fund"
"DOT","2025","Federal Aviation Administration Grants-in-Aid for Airports"
"DOT","2023","Federal Aviation Administration Operations"
"DOT","2023","Federal Aviation Administration Research, Engineering and Development"
"GSA","2024","Federal Citizen Services Fund"
"FCC","2023","Federal Communications Commission Operating Expenses"
"FEC","2024","Federal Election Campaign Act (FECA)"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims"
"DHS","2024","Federal Emergency Management Agency (FEMA) - FRM Risk Map"
"DHS","2022","Federal Emergency Management Agency (FEMA) - Lost Wages"
"DHS","2025","Federal Emergency Management Agency - Assistance to Firefighter Grants"
"DHS","2025","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program"
"DHS","2025","Federal Emergency Management Agency - Building Resilient Infrastructure and Communities Grants"
"DHS","2024","Federal Emergency Management Agency - Commercial Bill of Lading"
"DHS","2025","Federal Emergency Management Agency - Disaster Case Management"
"DHS","2025","Federal Emergency Management Agency - Disaster Direct Loan Program"
"DHS","2025","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program"
"DHS","2024","Federal Emergency Management Agency - Emergency Food & Shelter Program"
"DHS","2025","Federal Emergency Management Agency - Emergency Management Performance Grants"
"DHS","2025","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims"
"DHS","2025","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants"
"DHS","2025","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program"
"DHS","2023","Federal Emergency Management Agency - Funeral Assistance"
"DHS","2025","Federal Emergency Management Agency - Hazard Mitigation Grant Program"
"DHS","2025","Federal Emergency Management Agency - Hazard Mitigation Grant Program - Disaster Supplemental Funds"
"DHS","2025","Federal Emergency Management Agency - Hermit's Peak"
"DHS","2025","Federal Emergency Management Agency - Homeland Security Grant Program"
"DHS","2025","Federal Emergency Management Agency - Infrastructure Investment and Jobs Act Grant Program"
"DHS","2023","Federal Emergency Management Agency - Intercity Bus Security Grants"
"DHS","2025","Federal Emergency Management Agency - Nonprofit Security Grant Program"
"DHS","2025","Federal Emergency Management Agency - Payroll"
"DHS","2025","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds"
"DHS","2025","Federal Emergency Management Agency - Port Security Grant Program"
"DHS","2024","Federal Emergency Management Agency - Pre-Disaster Mitigation"
"DHS","2025","Federal Emergency Management Agency - Preparedness: Tribal Cybersecurity Grant Program"
"DHS","2025","Federal Emergency Management Agency - Public Assistance"
"DHS","2024","Federal Emergency Management Agency - Purchase Card"
"DHS","2024","Federal Emergency Management Agency - Training Grants"
"DHS","2021","Federal Emergency Management Agency - Transit Security Grant Program"
"DHS","2025","Federal Emergency Management Agency - Travel"
"DHS","2025","Federal Emergency Management Agency - Urban Search and Rescue"
"DHS","2025","Federal Emergency Management Agency - Vendor Pay"
"DHS","2025","Federal Emergency Management Agency - Vendor Pay - Disaster Supplemental Funds"
"DHS","2022","Federal Emergency Management Agency – United States Fire Administration"
"FLRA","2025","Federal Employee Payments, including Payroll"
"OPM","2022","Federal Employees Health Benefits"
"OPM","2023","Federal Employees Health Benefits - Community Rated Carriers"
"OPM","2023","Federal Employees’ Group Life Insurance (FEGLI)"
"ED","2023","Federal Family Education Loan (FFEL)"
"DOT","2023","Federal Highway Administration Other Grant Programs and Cooperative Agreements"
"DOT","2023","Federal Highway Administration Research Programs"
"DOT","2023","Federal Highway Administration Salaries and Expenses"
"HUD","2025","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Claims"
"HUD","2025","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Notes"
"HUD","2025","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)"
"HUD","2024","Federal Housing Administration - Multi-Family Notes"
"HUD","2021","Federal Housing Administration - Multi-Family Premium Refunds"
"HUD","2023","Federal Housing Administration - Other Disbursements"
"HUD","2024","Federal Housing Administration - Single Family Claims"
"HUD","2023","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System) (SAMS)"
"DHS","2025","Federal Law Enforcement Training Centers - Law Enforcement Training"
"DHS","2025","Federal Law Enforcement Training Centers - Mission Support"
"DOT","2023","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants"
"DOT","2023","Federal Motor Carrier Safety Administration Operations and Programs"
"ED","2023","Federal Perkins Loan (Perkins)"
"DOT","2025","Federal Railroad Administration Grants to National Railroad Passenger Corporation"
"DOT","2023","Federal Railroad Administration High-Speed Intercity Passenger Rail"
"DOT","2023","Federal Railroad Administration Other Grant Programs"
"DOT","2023","Federal Railroad Administration Railroad Research and Development"
"DOT","2023","Federal Railroad Administration Safety and Operations"
"ED","2023","Federal Supplemental Educational Opportunity Grant (FSEOG)"
"DOT","2023","Federal Transit Administration Administrative Expenses"
"DOT","2023","Federal Transit Administration Capital Investment Grants"
"DOT","2024","Federal Transit Administration Emergency Relief Program"
"DOT","2025","Federal Transit Administration Formula Grants"
"DOT","2023","Federal Transit Administration Transit Infrastructure Grants"
"DOT","2021","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds"
"DOT","2025","Federal Transit Administration Washington Metro"
"DOI","2025","Federal Trust Programs, Bureau of Trust Funds Administration, Interior"
"ED","2023","Federal Work-Study"
"DOI","2025","Federal-Aid Highways (Liquidation of Contract Authorization), Federal Highway Administration, Transportation, Bureau of Indian Affairs"
"DOI","2025","Federal-Aid Highways (Liquidation of Contract Authorization), Federal Highway Administration, Transportation, National Park Service"
"DOI","2025","Federal-Aid Highways (Liquidation of Contract Authorization), Federal Highway Administration, Transportation, U.S. Fish and Wildlife Service"
"SEC","2025","Filing Fee deposit refunds"
"DOE","2025","Financial Assistance Awards"
"EPA","2025","Financial Assistance For Community Support Activities To Address Environmental Justice Issues"
"TREASURY","2023","Financial Crimes Enforcement Network - Salaries and Expenses"
"TREASURY","2024","Fiscal Serivce  Gulf Coast Restoration Trust Fund"
"TREASURY","2024","Fiscal Service - American Indian & Alaskan Native"
"TREASURY","2025","Fiscal Service - Check Forgery Insurance Fund"
"TREASURY","2025","Fiscal Service - Claims for Contract Disputes"
"TREASURY","2025","Fiscal Service - Corporation for Public Broadcasting"
"TREASURY","2023","Fiscal Service - DC Water & Sewer"
"TREASURY","2022","Fiscal Service - Debt Collection"
"TREASURY","2025","Fiscal Service - Debt Collection Special Fund"
"TREASURY","2025","Fiscal Service - Emergency Planning & Security"
"TREASURY","2023","Fiscal Service - Federal Reserve Bank Reimbursement Fund"
"TREASURY","2025","Fiscal Service - Financial Agent Services"
"TREASURY","2025","Fiscal Service - Fiscal Service Administrative Salaries and Expenses"
"TREASURY","2021","Fiscal Service - Guam World War II Claims Fund"
"TREASURY","2024","Fiscal Service - Interest on the Public Debt (indefinite)"
"TREASURY","2024","Fiscal Service - Interest on Uninvested Funds"
"TREASURY","2025","Fiscal Service - Judgements, Court of Claims"
"TREASURY","2022","Fiscal Service - Judgements, U.S. Courts"
"TREASURY","2025","Fiscal Service - Payment to Legal Services Corporation"
"TREASURY","2025","Fiscal Service - Payment to Resolution Funds Corporation"
"TREASURY","2024","Fiscal Service - Refund Money Erroneously Received"
"TREASURY","2023","Fiscal Service - Reimbursements to Federal Reserve Banks"
"TREASURY","2025","Fiscal Service - Resident Tuition Sup"
"TREASURY","2025","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion"
"TREASURY","2024","Fiscal Service- Restitution of Foregone Interest"
"HHS","2025","Food and Drug Administration (FDA) - Animal Drugs and Feed"
"HHS","2025","Food and Drug Administration (FDA) - Buildings and Facilities"
"HHS","2023","Food and Drug Administration (FDA) - Center for Biologics"
"HHS","2024","Food and Drug Administration (FDA) - Center for Devices and Radiological Health"
"HHS","2025","Food and Drug Administration (FDA) - Coronavirus Emergency Funding Supplemental"
"HHS","2023","Food and Drug Administration (FDA) - CURES Activities"
"HHS","2024","Food and Drug Administration (FDA) - FDA HCFAC Wedge Fund"
"HHS","2023","Food and Drug Administration (FDA) - Foods"
"HHS","2024","Food and Drug Administration (FDA) - GSA Rental Payments"
"HHS","2023","Food and Drug Administration (FDA) - Human Drugs"
"HHS","2025","Food and Drug Administration (FDA) - National Center for Toxicological Research"
"HHS","2023","Food and Drug Administration (FDA) - Opioids - International Mail Facilities (IMF)"
"HHS","2025","Food and Drug Administration (FDA) - Other Headquarters Activities"
"HHS","2024","Food and Drug Administration (FDA) - Other Rent and Rent Related Activities"
"HHS","2025","Food and Drug Administration (FDA) - Payment to FDA Innovation"
"HHS","2023","Food and Drug Administration (FDA) - Reimbursable Program - Federal Sources"
"HHS","2024","Food and Drug Administration (FDA) - Revolving Fund for Certification and Other Services (Reimbursable)"
"HHS","2025","Food and Drug Administration (FDA) - User Fees (Non General Fund)"
"HHS","2024","Food and Drug Administration (FDA) - Working Capital Fund"
"USDA","2024","Food Distribution Program on Indian Reservations"
"USDA","2023","Food for Education"
"USDA","2025","Food for Progress"
"USDA","2024","Food Safety and Inspection Service (FSIS) Salaries and Expenses"
"USDA","2024","Foreign Agriculture Service (FAS) Salaries and Expenses"
"STATE","2025","Foreign Locally Employed Staff Compensation"
"VA","2023","Foreign Medical Program"
"STATE","2025","Foreign Service Annuities"
"DOI","2025","Forest Ecosystems Health and Recovery, Bureau of Land Management"
"VA","2023","Franchise Fund"
"USDA","2025","FS-03 Wildland Fire Management"
"USDA","2025","FS-04 Capital Improvement and Maintenance"
"USDA","2025","FS-04 Disaster Supplemental- Capital Improvement and Maintenance"
"USDA","2023","FS-05 State, Private, and Tribal Forestry"
"USDA","2024","FS-06 Forest and Rangeland Research"
"USDA","2024","FS-07 Stewardship Contracting Product Sales"
"USDA","2024","FS-08 Permanent Appropriations"
"USDA","2025","FS-09 Forest Service Trust Funds"
"USDA","2023","FS-10 Land Acquisition"
"USDA","2024","FS-11 Working Capital Fund"
"USDA","2025","FS-12 Management of National Forest Lands for Subsistence Uses"
"USDA","2025","FS-13 Range Betterment Fund"
"USDA","2023","FS-14 Operations"
"STATE","2025","Fulbright Program"
"ED","2024","Fund for the Improvement of Postsecondary Education"
"DOI","2022","Funds Reserved, Oregon and California Grant Lands, Bureau of Land Management, Interior"
"ED","2025","Gaining Early Awareness and Readiness for Undergraduate Programs"
"ED","2024","Gallaudet University"
"NASA","2023","Gateway"
"VA","2024","General Post Fund"
"HUD","2021","Ginnie Mae - Contractor Payments"
"HUD","2024","Ginnie Mae - Master Sub-Servicer Default Activity"
"HUD","2024","Ginnie Mae - Other Contractual Services"
"HUD","2021","Ginnie Mae - Pass Through Assistance Program (PTAP)"
"DOI","2024","Good Neighbor Authority"
"GSA","2024","Government-wide Policy"
"GSA","2024","Government-wide Policy (Reimbursable)"
"ED","2025","Graduate Assistance in Areas of National Need"
"VA","2023","Grants (Construction of State Extended Care Facilities)"
"VA","2024","Grants (Homeless Per Diem)"
"VA","2025","Grants (Suicide Prevention Grant Program)"
"VA","2024","Grants (Support Services for Veteran Families)"
"NSF","2024","Grants and Cooperative Agreements"
"NEA","2024","Grants for Arts Projects"
"ED","2025","Grants for State Assessments and Related Activities"
"IMLS","2025","Grants to States"
"EPA","2025","Greenhouse Gas Reduction Fund: Clean Communities Investment Accelerator"
"EPA","2025","Greenhouse Gas Reduction Fund: National Clean Investment Fund"
"EPA","2025","Greenhouse Gas Reduction Fund: Solar for All"
"SBA","2024","Growth Accelerator Fund Competition"
"DOI","2025","Guaranteed Loan Financing Account, Bureau of Indian Affairs, Interior"
"GCRC","2025","Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component Program"
"GCRC","2025","Gulf Coast Ecosystem Restoration Council Oil Spill Impact Program"
"USAID","2024","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions"
"USAID","2024","HA.2 Humanitarian Assistance/Disaster Readiness"
"USAID","2024","HA.3 Humanitarian Assistance/Migration Management"
"ED","2023","Health Education Assistance Loan (HEAL)"
"HHS","2025","Health Resources and Services Administration (HRSA) - Claims Processing (HRSA)"
"HHS","2025","Health Resources and Services Administration (HRSA) - Compensation Claims for Post-FY 1989 Injuries"
"HHS","2025","Health Resources and Services Administration (HRSA) - Countermeasures (Admin Expense)"
"HHS","2024","Health Resources and Services Administration (HRSA) - Health Care Systems"
"HHS","2025","Health Resources and Services Administration (HRSA) - Health Workforce"
"HHS","2025","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Mandatory)"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal, Infant, and Early Childhood Home Visiting Programs"
"HHS","2024","Health Resources and Services Administration (HRSA) - Primary Health Care"
"HHS","2024","Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics"
"HHS","2024","Health Resources and Services Administration (HRSA) - Program Management"
"HHS","2021","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted"
"HHS","2021","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured"
"HHS","2025","Health Resources and Services Administration (HRSA) - Reimbursable"
"HHS","2024","Health Resources and Services Administration (HRSA) - Rural Health"
"HHS","2024","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS"
"VA","2023","Healthcare for Homeless Veterans"
"ED","2025","Helen Keller National Center for Youths and Adults Who Are Deaf-Blind"
"NASA","2023","Heliophysics Explorer Program"
"NASA","2023","Heliophysics Research"
"NASA","2023","Heliophysics Technology"
"DOI","2022","Helium Fund, Bureau of Land Management, Interior"
"ED","2024","Higher Education Institutional Aid"
"DOI","2025","Highway Infrastructure Programs, Federal Highway Administration, Transportation, Bureau of Indian Affairs, Interior"
"DOI","2025","Highway Infrastructure Programs, Federal Highway Administration, Transportation, National Park Service, Interior"
"DOI","2024","Historic Preservation Fund Grants-In-Aid"
"DOI","2025","Historic Preservation Fund, National Park Service"
"DOI","2025","Historic Preservation Fund, National Park Service, Interior"
"USAID","2024","HL.1 Health/HIV/AIDS"
"USAID","2021","HL.3 Health/Malaria"
"USAID","2024","HL.4 Health/Pandemic Influenza and Other Emerging Threats (PIOET)"
"USAID","2024","HL.5 Health/Other Public Health Threats"
"USAID","2024","HL.6 Health/Maternal and Child Health"
"USAID","2024","HL.7 Health/Family Planning and Reproductive Health"
"USAID","2024","HL.8 Health/Water Supply and Sanitation"
"USAID","2024","HL.9 Health/Nutrition"
"HUD","2024","Housing - Housing Counseling Assistance"
"HUD","2024","Housing - Housing for Special Populations- Capital Advance portion of expenditures, Section 202"
"HUD","2024","Housing - Rental Housing Assistance Program- Section 236"
"HUD","2023","Housing - Section 811 Housing for Persons with Disabilities (PRAC and Capital Advance)"
"ED","2025","Howard University"
"NASA","2023","Human Landing System"
"NASA","2023","Human Research"
"NASA","2023","Human Research Program"
"NASA","2023","Human Space Flight Operations"
"ED","2022","Immediate Aid To Restart School Operations (RESTART)"
"DHS","2023","Immigration and Customs Enforcement - Coronavirus Aid, Relief, and Economic Security Act Funds"
"DHS","2023","Immigration and Customs Enforcement - Enforcement and Removal Operations"
"DHS","2023","Immigration and Customs Enforcement - Fleet Card"
"DHS","2024","Immigration and Customs Enforcement - Homeland Security Investigations"
"DHS","2025","Immigration and Customs Enforcement - Management"
"DHS","2025","Immigration and Customs Enforcement - Office of the Assistant Secretary"
"DHS","2023","Immigration and Customs Enforcement - Payroll"
"DHS","2024","Immigration and Customs Enforcement - Procurement, Construction, and Improvements - Disaster Supplemental Funds"
"DHS","2023","Immigration and Customs Enforcement - Purchase Card"
"DHS","2025","Immigration and Customs Enforcement - Servicewide Agreements"
"DHS","2023","Immigration and Customs Enforcement - Travel"
"ED","2024","Impact Aid"
"ED","2021","Impact Aid Facilities Maintenance"
"USDA","2024","Indemnity Program"
"ED","2025","Indian Education - Special Programs for Indian Children"
"ED","2025","Indian Education Grants to Local Educational Agencies"
"DOI","2022","Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"HHS","2023","Indian Health Service (IHS) -  Purchased/Referred Care (Clinical Services)"
"HHS","2025","Indian Health Service (IHS) - Community Health Representatives (Preventive Health)"
"HHS","2024","Indian Health Service (IHS) - Contract Support Costs"
"HHS","2024","Indian Health Service (IHS) - Dental Services (Clinical Services)"
"HHS","2025","Indian Health Service (IHS) - Direct Operations"
"HHS","2025","Indian Health Service (IHS) - Electronic Health Record System (Clinical Services)"
"HHS","2025","Indian Health Service (IHS) - Health Education (Preventive Health)"
"HHS","2024","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)"
"HHS","2025","Indian Health Service (IHS) - Indian Health Care Improvement Fund (Clinical Services)"
"HHS","2025","Indian Health Service (IHS) - Indian Health Facilities (Preventive Health)"
"HHS","2025","Indian Health Service (IHS) - Indian Health Professions"
"HHS","2025","Indian Health Service (IHS) - Indian Health Services (Reimbursable)"
"HHS","2024","Indian Health Service (IHS) - Public Health Nursing (Preventive Health)"
"HHS","2024","Indian Health Service (IHS) - Sanitation and Health Facilities"
"HHS","2024","Indian Health Service (IHS) - Section 105(l) Leases"
"HHS","2024","Indian Health Service (IHS) - Urban Health"
"HHS","2022","Indian Health Service (IHS) Clinical Services - Testing, Tracing, Containment, Mitigation, and Related Activities (Transfer from Public Health Emergency and Social Services Emergency Fund) - Disaster Relief"
"HHS","2021","Indian Health Service (IHS) Testing, Contact Tracing, Monitoring, and Mitigation - Disaster Relief"
"VA","2023","Indian Health Services/Tribal Health Program"
