"agency","Program Name","Fiscal_Year"
"DOI","Permit Processing Fund, Bureau of Land Management, Interior","2021"
"DOI","Permit Processing Fund, Bureau of Land Management, Interior","2022"
"DOI","Policy and Administration, Bureau of Reclamation, Interior","2021"
"DOI","Policy and Administration, Bureau of Reclamation, Interior","2022"
"DOI","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000","2021"
"DOI","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000","2022"
"DOI","Reclamation Trust Funds, Bureau of Reclamation, Interior","2021"
"DOI","Reclamation Water Settlements Fund, Bureau of Reclamation, Interior","2021"
"DOI","Reclamation Water Settlements Fund, Bureau of Reclamation, Interior","2022"
"DOI","Recreation Enhancement Fee Program, Bureau of Land Management, Interior","2021"
"DOI","Recreation Enhancement Fee Program, Bureau of Land Management, Interior","2022"
"DOI","Recreation Enhancement Fee Program, National Park Service, Interior","2021"
"DOI","Recreation Enhancement Fee Program, National Park Service, Interior","2022"
"DOI","Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 223S180110, 234S180110","2021"
"DOI","Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 223S180110, 234S180110","2022"
"DOI","Resource Management, United States Fish and Wildlife Service, Interior - BIL 23XF1611WF, 23XF1611BC, 23XF1611BL","2021"
"DOI","Resource Management, United States Fish and Wildlife Service, Interior - BIL 23XF1611WF, 23XF1611BC, 23XF1611BL","2022"
"DOI","Salaries and Expenses, Office of the Inspector General, Interior","2021"
"DOI","Salaries and Expenses, Office of the Inspector General, Interior","2022"
"DOI","Salaries and Expenses, Office of the Solicitor, Interior","2021"
"DOI","Salaries and Expenses, Office of the Solicitor, Interior","2022"
"DOI","Selis-Qlispe Ksanka Settlement Trust Fund","2021"
"DOI","Selis-Qlispe Ksanka Settlement Trust Fund","2022"
"DOI","Service Charges, Deposits and Forfeitures, Bureau of Land Management","2021"
"DOI","Service Charges, Deposits and Forfeitures, Bureau of Land Management","2022"
"DOI","Service Charges, Deposits and Forfeitures, Bureau of Land Management, Interior","2021"
"DOI","Service Charges, Deposits and Forfeitures, Bureau of Land Management, Interior","2022"
"DOI","Southern Nevada Public Land Management, Bureau of Land Management","2021"
"DOI","Southern Nevada Public Land Management, Bureau of Land Management","2022"
"DOI","Sport Fish Restoration Account, United States Fish and Wildlife Service","2021"
"DOI","Sport Fish Restoration Account, United States Fish and Wildlife Service","2022"
"DOI","State Wildlife Grants","2021"
"DOI","State Wildlife Grants","2022"
"DOI","Supplemental Payments to United Mine Workers of America (UMWA) Health Plans, Office of Surface Mining Reclamation and Enforcement, Interior","2021"
"DOI","Supplemental Payments to United Mine Workers of America (UMWA) Health Plans, Office of Surface Mining Reclamation and Enforcement, Interior","2022"
"DOI","Surveys, Investigations, and Research, Geological Survey, Interior - BIL 224G0804ID, 22XG0804ID, 235G0804ID","2021"
"DOI","Surveys, Investigations, and Research, Geological Survey, Interior - BIL 224G0804ID, 22XG0804ID, 235G0804ID","2022"
"DOI","Temporary Assistance for Needy Families, Interior","2021"
"DOI","Temporary Assistance for Needy Families, Interior","2022"
"DOI","Training and Employment Services, Employment and Training Administration, Interior","2021"
"DOI","Training and Employment Services, Employment and Training Administration, Interior","2022"
"DOI","Transportation Systems Fund, National Park Service, Interior","2021"
"DOI","Transportation Systems Fund, National Park Service, Interior","2022"
"DOI","Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior","2021"
"DOI","Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior","2022"
"DOI","Upper Colorado and San Juan River Basins Endangered Fish Recovery","2021"
"DOI","Upper Colorado and San Juan River Basins Endangered Fish Recovery","2022"
"DOI","Utah Navajo Settlement Trust Fund - Infrastructure Investment and Jobs Act, Bureau of Indian Affairs, Interior","2022"
"DOI","Utah Reclamation Mitigation and Conservation Account, Bureau of Reclamation, Interior","2021"
"DOI","Utah Reclamation Mitigation and Conservation Account, Interior","2022"
"DOI","White Mountain Apache Fund Settlement Fund, Bureau of Indian Affairs, Interior","2022"
"DOI","Wildfire Management, Bureau of Land Management, Interior","2021"
"DOI","Wildfire Management, Bureau of Land Management, Interior","2022"
"DOI","Wildfire Management, National Park Service, Interior","2021"
"DOI","Wildfire Management, National Park Service, Interior","2022"
"DOI","Wildland Fire Management, U.S. Fish and Wildlife Service, Interior","2021"
"DOI","Wildland Fire Management, U.S. Fish and Wildlife Service, Interior","2022"
"DOI","Wildland Fire, Bureau of Indian Affairs, Interior","2021"
"DOI","Wildland Fire, Bureau of Indian Affairs, Interior","2022"
"DOI","Working Capital Fund, Bureau of Land Management, Interior","2021"
"DOI","Working Capital Fund, Bureau of Land Management, Interior","2022"
"DOI","Working Capital Fund, Bureau of Reclamation","2021"
"DOI","Working Capital Fund, Bureau of Reclamation","2022"
"DOI","Working Capital Fund, Bureau of Reclamation, Interior","2021"
"DOI","Working Capital Fund, Bureau of Reclamation, Interior","2022"
"DOI","Working Capital Fund, Departmental Management, Interior","2021"
"DOI","Working Capital Fund, Departmental Management, Interior","2022"
"DOI","Working Capital Fund, U.S. Geological Survey, Interior","2021"
"DOI","Working Capital Fund, U.S. Geological Survey, Interior","2022"
"DOJ","Administrative, Technology, and Other","2021"
"DOJ","Administrative, Technology, and Other","2022"
"DOJ","Law Enforcement","2021"
"DOJ","Law Enforcement","2022"
"DOJ","Litigation","2021"
"DOJ","Litigation","2022"
"DOJ","Prisons and Detention","2021"
"DOJ","Prisons and Detention","2022"
"DOJ","State, Local, Tribal, and Other Assistance","2021"
"DOJ","State, Local, Tribal, and Other Assistance","2022"
"DOL","Bureau of Labor Statistics - Compensation and Working Conditions","2021"
"DOL","Bureau of Labor Statistics - Compensation and Working Conditions","2022"
"DOL","Bureau of Labor Statistics - Executive Direction and Staff Services","2021"
"DOL","Bureau of Labor Statistics - Executive Direction and Staff Services","2022"
"DOL","Bureau of Labor Statistics - Labor Force Statistics","2021"
"DOL","Bureau of Labor Statistics - Labor Force Statistics","2022"
"DOL","Bureau of Labor Statistics - Prices and Cost of Living","2021"
"DOL","Bureau of Labor Statistics - Prices and Cost of Living","2022"
"DOL","Bureau of Labor Statistics - Productivity and Technology","2021"
"DOL","Bureau of Labor Statistics - Productivity and Technology","2022"
"DOL","Department of Labor - Departmental Management","2021"
"DOL","Department of Labor - Departmental Management","2022"
"DOL","Department of Labor - Office of Inspector General","2022"
"DOL","Employee Benefits Security Administration","2021"
"DOL","Employee Benefits Security Administration","2022"
"DOL","Employment & Training Administration - Adult Employment and Training Activities","2021"
"DOL","Employment & Training Administration - Adult Employment and Training Activities","2022"
"DOL","Employment & Training Administration - Apprenticeship","2021"
"DOL","Employment & Training Administration - Apprenticeship","2022"
"DOL","Employment & Training Administration - Community Service Employment for Older Americans","2021"
"DOL","Employment & Training Administration - Community Service Employment for Older Americans","2022"
"DOL","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","2021"
"DOL","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","2022"
"DOL","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves Demos","2021"
"DOL","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves Demos","2022"
"DOL","Employment & Training Administration - Employment Service","2021"
"DOL","Employment & Training Administration - Employment Service","2022"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","2021"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","2022"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","2023"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","2024"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","2025"
"DOL","Employment & Training Administration - Indian and Native American Program","2021"
"DOL","Employment & Training Administration - Indian and Native American Program","2022"
"DOL","Employment & Training Administration - Job Corps","2021"
"DOL","Employment & Training Administration - Job Corps","2022"
"DOL","Employment & Training Administration - Migrant and Seasonal Farmworker","2021"
"DOL","Employment & Training Administration - Migrant and Seasonal Farmworker","2022"
"DOL","Employment & Training Administration - Permanent Labor Certification for Foreign Workers","2021"
"DOL","Employment & Training Administration - Permanent Labor Certification for Foreign Workers","2022"
"DOL","Employment & Training Administration - Reintegration of Ex-Offenders","2021"
"DOL","Employment & Training Administration - Reintegration of Ex-Offenders","2022"
"DOL","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","2021"
"DOL","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","2022"
"DOL","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","2023"
"DOL","Employment & Training Administration - Workforce Data Quality Initiative","2021"
"DOL","Employment & Training Administration - Workforce Data Quality Initiative","2022"
"DOL","Employment & Training Administration - Workforce Information Etools","2021"
"DOL","Employment & Training Administration - Workforce Information Etools","2022"
"DOL","Employment & Training Administration - Youth Activities","2021"
"DOL","Employment & Training Administration - Youth Activities","2022"
"DOL","Employment & Training Administration - YouthBuild","2021"
"DOL","Employment & Training Administration - YouthBuild","2022"
"DOL","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Emergency Unemployment Compensation","2021"
"DOL","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Unemployment Assistance","2021"
"DOL","International Labor Affairs Bureau","2021"
"DOL","International Labor Affairs Bureau","2022"
"DOL","Mine Safety and Health Administration - Brookwood-Sago Grant","2021"
"DOL","Mine Safety and Health Administration - Brookwood-Sago Grant","2022"
"DOL","Occupational Safety and Health Administration - Susan Harwood Training Grants","2021"
"DOL","Occupational Safety and Health Administration - Susan Harwood Training Grants","2022"
"DOL","Office of Disability Employment Policy","2021"
"DOL","Office of Disability Employment Policy","2022"
"DOL","Office of Federal Contract Compliance Programs","2021"
"DOL","Office of Federal Contract Compliance Programs","2022"
"DOL","Office of Labor-Management Standards","2021"
"DOL","Office of Labor-Management Standards","2022"
"DOL","Office of Workers' Compensation - Coal Mine Workers' Compensation","2021"
"DOL","Office of Workers' Compensation - Coal Mine Workers' Compensation","2022"
"DOL","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","2021"
"DOL","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","2022"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","2021"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","2022"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","2023"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","2024"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","2025"
"DOL","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","2021"
"DOL","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","2022"
"DOL","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","2021"
"DOL","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","2022"
"DOL","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","2021"
"DOL","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","2022"
"DOL","Veterans Employment Training Service - Jobs for Veterans State Grants","2021"
"DOL","Veterans Employment Training Service - Jobs for Veterans State Grants","2022"
"DOL","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","2021"
"DOL","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","2022"
"DOL","Wage and Hour Division","2021"
"DOL","Wage and Hour Division","2022"
"DOL","Women's Bureau","2021"
"DOL","Women's Bureau","2022"
"DOT","Federal Aviation Administration Airport Concessionaire Relief","2022"
"DOT","Federal Aviation Administration Facilities and Equipment","2021"
"DOT","Federal Aviation Administration Facilities and Equipment","2022"
"DOT","Federal Aviation Administration Franchise Fund","2021"
"DOT","Federal Aviation Administration Franchise Fund","2022"
"DOT","Federal Aviation Administration Grants-in-Aid for Airports","2021"
"DOT","Federal Aviation Administration Grants-in-Aid for Airports","2022"
"DOT","Federal Aviation Administration Operations","2021"
"DOT","Federal Aviation Administration Operations","2022"
"DOT","Federal Aviation Administration Research, Engineering and Development","2021"
"DOT","Federal Aviation Administration Research, Engineering and Development","2022"
"DOT","Federal Highway Administration Highway Planning and Construction","2021"
"DOT","Federal Highway Administration Highway Planning and Construction","2022"
"DOT","Federal Highway Administration Highway Planning and Construction","2023"
"DOT","Federal Highway Administration Highway Planning and Construction","2024"
"DOT","Federal Highway Administration Highway Planning and Construction","2025"
"DOT","Federal Highway Administration Other Grant Programs and Cooperative Agreements","2021"
"DOT","Federal Highway Administration Other Grant Programs and Cooperative Agreements","2022"
"DOT","Federal Highway Administration Research Programs","2021"
"DOT","Federal Highway Administration Research Programs","2022"
"DOT","Federal Highway Administration Salaries and Expenses","2021"
"DOT","Federal Highway Administration Salaries and Expenses","2022"
"DOT","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","2021"
"DOT","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","2022"
"DOT","Federal Motor Carrier Safety Administration Operations and Programs","2021"
"DOT","Federal Motor Carrier Safety Administration Operations and Programs","2022"
"DOT","Federal Railroad Administration Grants to National Railroad Passenger Corporation","2021"
"DOT","Federal Railroad Administration Grants to National Railroad Passenger Corporation","2022"
"DOT","Federal Railroad Administration High-Speed Intercity Passenger Rail","2021"
"DOT","Federal Railroad Administration High-Speed Intercity Passenger Rail","2022"
"DOT","Federal Railroad Administration Other Grant Programs","2021"
"DOT","Federal Railroad Administration Other Grant Programs","2022"
"DOT","Federal Railroad Administration Railroad Research and Development","2021"
"DOT","Federal Railroad Administration Railroad Research and Development","2022"
"DOT","Federal Railroad Administration Safety and Operations","2021"
"DOT","Federal Railroad Administration Safety and Operations","2022"
"DOT","Federal Transit Administration Administrative Expenses","2021"
"DOT","Federal Transit Administration Administrative Expenses","2022"
"DOT","Federal Transit Administration Capital Investment Grants","2021"
"DOT","Federal Transit Administration Capital Investment Grants","2022"
"DOT","Federal Transit Administration Emergency Relief Program","2021"
"DOT","Federal Transit Administration Emergency Relief Program","2022"
"DOT","Federal Transit Administration Formula Grants","2021"
"DOT","Federal Transit Administration Formula Grants","2022"
"DOT","Federal Transit Administration Other Grant Programs","2021"
"DOT","Federal Transit Administration Other Grant Programs","2022"
"DOT","Federal Transit Administration Transit Infrastructure Grants","2021"
"DOT","Federal Transit Administration Transit Infrastructure Grants","2022"
"DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","2021"
"DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","2022"
"DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","2023"
"DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","2024"
"DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","2025"
"DOT","Federal Transit Administration Washington Metro","2021"
"DOT","Federal Transit Administration Washington Metro","2022"
"DOT","Maritime Administration Approval Workflow Contract Payments","2021"
"DOT","Maritime Administration Approval Workflow Contract Payments","2022"
"DOT","Maritime Administration Assistance Programs","2021"
"DOT","Maritime Administration Assistance Programs","2022"
"DOT","Maritime Administration Electronic Invoicing System Ship Manager Payments","2021"
"DOT","Maritime Administration Electronic Invoicing System Ship Manager Payments","2022"
"DOT","Maritime Administration Federal Ship Financing Program Contracts","2021"
"DOT","Maritime Administration Federal Ship Financing Program Contracts","2022"
"DOT","Maritime Administration Personnel Compensation and Benefits","2021"
"DOT","Maritime Administration Personnel Compensation and Benefits","2022"
"DOT","Maritime Administration Port Infrastructure Development","2022"
"DOT","Maritime Administration Student Incentive Program","2021"
"DOT","Maritime Administration Student Incentive Program","2022"
"DOT","Maritime Administration Travel Payments","2021"
"DOT","Maritime Administration Travel Payments","2022"
"DOT","National Highway Traffic Safety Administration","2021"
"DOT","National Highway Traffic Safety Administration","2022"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","2021"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","2022"
"DOT","Office of Inspector General Salaries and Expenses","2021"
"DOT","Office of Inspector General Salaries and Expenses","2022"
"DOT","Office of the Secretary Aviation Manufacturing Jobs Protection Program","2022"
"DOT","Office of the Secretary Grant Programs","2021"
"DOT","Office of the Secretary Grant Programs","2022"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","2021"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","2022"
"DOT","Office of the Secretary Loan Programs","2021"
"DOT","Office of the Secretary Loan Programs","2022"
"DOT","Office of the Secretary Salaries and Expenses","2021"
"DOT","Office of the Secretary Salaries and Expenses","2022"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","2021"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","2022"
"DOW","Civilian Pay","2021"
"DOW","Civilian Pay","2022"
"DOW","Civilian Pay","2023"
"DOW","Civilian Pay – Army","2024"
"DOW","Civilian Pay – Army","2025"
"DOW","Civilian Pay – Other Defense Organization (ODO)","2024"
"DOW","Civilian Pay – Other Defense Organization (ODO)","2025"
"DOW","Commercial Pay","2021"
"DOW","Commercial Pay","2022"
"DOW","Commercial Pay","2023"
"DOW","Commercial Pay - U.S. Army Corps of Engineers (USACE)","2021"
"DOW","Commercial Pay - U.S. Army Corps of Engineers (USACE)","2022"
"DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","2024"
"DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","2025"
"DOW","DoD Travel Pay","2021"
"DOW","DoD Travel Pay","2022"
"DOW","DoD Travel Pay","2023"
"DOW","Military Health Benefits - Healthcare","2021"
"DOW","Military Health Benefits - Healthcare","2022"
"DOW","Military Health Benefits – Administrative","2022"
"DOW","Military Pay - Army","2021"
"DOW","Military Pay - Army","2022"
"DOW","Military Pay - Army","2023"
"DOW","Military Pay - Department of Air Force","2021"
"DOW","Military Pay - Department of Air Force","2022"
"DOW","Military Pay - Department of Air Force","2023"
"DOW","Military Pay - Marine Corps","2021"
"DOW","Military Pay - Marine Corps","2022"
"DOW","Military Pay - Marine Corps","2023"
"DOW","Military Pay - Navy","2021"
"DOW","Military Pay - Navy","2022"
"DOW","Military Pay - Navy","2023"
"DOW","Military Pay Army – National Guard","2024"
"DOW","Military Pay Army – National Guard","2025"
"DOW","Military Retirement","2021"
"DOW","Military Retirement","2022"
"DOW","Military Retirement","2023"
"DOW","Travel Pay - U.S. Army Corps of Engineers (USACE)","2021"
"DOW","Travel Pay - U.S. Army Corps of Engineers (USACE)","2022"
"DOW","Travel Pay Army – Defense Travel System (DTS)","2025"
"DOW","Travel Pay Army – Defense Travel System (DTS)","2024"
"DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","2025"
"DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","2024"
"DOW","Travel Pay Other Defense Organization (ODO) – Defense Travel System (DTS)","2025"
"DOW","Travel Pay Other Defense Organization (ODO) – Integrated Automated Travel System (IATS)","2025"
"EAC","Election Assistance Commission","2021"
"EAC","Election Security Grants","2022"
"ED","Academic Competitiveness Grant","2021"
"ED","Academic Competitiveness Grant","2022"
"ED","Adult Education - Basic Grants to States","2021"
"ED","Adult Education - Basic Grants to States","2022"
"ED","Alaska Native Educational Programs","2022"
"ED","American History and Civics Education","2021"
"ED","American Indian Vocational Rehabilitation Services","2022"
"ED","American Printing House for the Blind","2022"
"ED","Arts in Education","2021"
"ED","Arts in Education","2022"
"ED","Career and Technical Education - Basic Grants to States","2021"
"ED","Career and Technical Education - Basic Grants to States","2022"
"ED","Career and Technical Education - Grants to Native Americans and Alaska Natives","2022"
"ED","Career and Technical Education - National Programs","2021"
"ED","Centers for International Business Education","2021"
"ED","Charter Schools","2021"
"ED","Charter Schools","2022"
"ED","Child Care Access Means Parents in School","2021"
"ED","Child Care Access Means Parents in School","2022"
"ED","Child Care Provider Loan Forgiveness Demonstration","2021"
"ED","Child Care Provider Loan Forgiveness Demonstration","2022"
"ED","Comprehensive Centers","2021"
"ED","Comprehensive Centers","2022"
"ED","Comprehensive Literacy Development","2021"
"ED","Comprehensive Literacy Development","2022"
"ED","Consolidated Grant to the Outlying Areas","2021"
"ED","Contractual Services","2021"
"ED","Credit Enhancement for Charter School Facilities","2021"
"ED","Credit Programs","2022"
"ED","DC Opportunity Scholarship Program","2021"
"ED","Disability Innovation Fund (DIF)","2021"
"ED","Disability Innovation Fund (DIF)","2022"
"ED","Disaster Recovery Assistance for Education","2021"
"ED","Education for Homeless Children and Youth","2021"
"ED","Education for Homeless Children and Youth","2022"
"ED","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","2021"
"ED","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","2022"
"ED","Education Research, Development and Dissemination","2021"
"ED","Education Research, Development and Dissemination","2022"
"ED","Education Stabilization Fund","2021"
"ED","Education Stabilization Fund","2022"
"ED","Education Stabilization Fund","2023"
"ED","Education Stabilization Fund","2024"
"ED","Education Stabilization Fund","2025"
"ED","Emergency Assistance to Institutions of Higher Education","2021"
"ED","Emergency Assistance to Institutions of Higher Education","2022"
"ED","English Language Acquisition State Grants","2021"
"ED","English Language Acquisition State Grants","2022"
"ED","Federal Family Education Loan (FFEL)","2021"
"ED","Federal Family Education Loan (FFEL)","2022"
"ED","Federal Pell Grant Program","2021"
"ED","Federal Pell Grant Program","2022"
"ED","Federal Pell Grant Program","2023"
"ED","Federal Pell Grant Program","2024"
"ED","Federal Pell Grant Program","2025"
"ED","Federal Perkins Loan (Perkins)","2021"
"ED","Federal Perkins Loan (Perkins)","2022"
"ED","Federal Supplemental Educational Opportunity Grant (FSEOG)","2021"
"ED","Federal Supplemental Educational Opportunity Grant (FSEOG)","2022"
"ED","Federal Work-Study","2021"
"ED","Federal Work-Study","2022"
"ED","Gaining Early Awareness and Readiness for Undergraduate Programs","2021"
"ED","Gaining Early Awareness and Readiness for Undergraduate Programs","2022"
"ED","Gallaudet University","2021"
"ED","Gallaudet University","2022"
"ED","Graduate Assistance in Areas of National Need","2021"
"ED","Graduate Assistance in Areas of National Need","2022"
"ED","Grants for State Assessments and Related Activities","2021"
"ED","Grants for State Assessments and Related Activities","2022"
"ED","Health Education Assistance Loan (HEAL)","2021"
"ED","Health Education Assistance Loan (HEAL)","2022"
"ED","Helen Keller National Center for Youths and Adults Who Are Deaf-Blind","2021"
"ED","Higher Education Institutional Aid","2021"
"ED","Higher Education Institutional Aid","2022"
"ED","Howard University","2022"
"ED","Immediate Aid To Restart School Operations (RESTART)","2021"
"ED","Immediate Aid To Restart School Operations (RESTART)","2022"
"ED","Impact Aid","2021"
"ED","Impact Aid Facilities Maintenance","2021"
"ED","Indian Education - Special Programs for Indian Children","2021"
"ED","Indian Education - Special Programs for Indian Children","2022"
"ED","Indian Education Grants to Local Educational Agencies","2021"
"ED","Indian Education Grants to Local Educational Agencies","2022"
"ED","Innovative Approaches to Literacy; Promise Neighborhoods; Full-Service Community Schools; and Congressionally Directed Spending for Elementary and Secondary Education Community Projects","2021"
"ED","Innovative Approaches to Literacy; Promise Neighborhoods; Full-Service Community Schools; and Congressionally Directed Spending for Elementary and Secondary Education Community Projects","2022"
"ED","International Research and Studies","2021"
"ED","Iraq and Afghanistan Service Grant (IASG)","2021"
"ED","Iraq and Afghanistan Service Grant (IASG)","2022"
"ED","Javits Gifted and Talented Students Education","2021"
"ED","Javits Gifted and Talented Students Education","2022"
"ED","Language Resource Centers","2021"
"ED","Leveraging Educational Assistance Partnership (LEAP) Program","2021"
"ED","Leveraging Educational Assistance Partnership (LEAP) Program","2022"
"ED","Magnet Schools Assistance","2022"
"ED","Mathematics and Science Partnerships","2021"
"ED","Migrant Education College Assistance Migrant Program","2022"
"ED","Migrant Education Coordination Program","2021"
"ED","Migrant Education High School Equivalency Program","2021"
"ED","Migrant Education High School Equivalency Program","2022"
"ED","Migrant Education State Grant Program","2021"
"ED","Migrant Education State Grant Program","2022"
"ED","Minority Science and Engineering Improvement","2021"
"ED","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","2021"
"ED","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","2022"
"ED","National Technical Institute for the Deaf","2022"
"ED","Native Hawaiian Education","2021"
"ED","Native Hawaiian Education","2022"
"ED","Overseas Programs - Doctoral Dissertation Research Abroad","2021"
"ED","Personnel Compensation and Benefits","2021"
"ED","Preschool Development Grants","2021"
"ED","Program of Protection and Advocacy of Individual Rights","2022"
"ED","Randolph-Sheppard - Financial Relief and Restoration Payments","2022"
"ED","Ready-To-Learn Television","2022"
"ED","Rehabilitation Long-Term Training","2021"
"ED","Rehabilitation Long-Term Training","2022"
"ED","Rehabilitation Services Client Assistance Program","2022"
"ED","Rehabilitation Services Demonstration and Training Programs","2021"
"ED","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","2021"
"ED","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","2022"
"ED","Rehabilitation Services Vocational Rehabilitation Grants to States","2021"
"ED","Rehabilitation Services Vocational Rehabilitation Grants to States","2022"
"ED","Rehabilitation Training Technical Assistance Centers","2021"
"ED","Research in Special Education","2021"
"ED","Research in Special Education","2022"
"ED","Rural Education","2021"
"ED","Rural Education","2022"
"ED","School Improvement Grants","2021"
"ED","School Improvement Grants","2022"
"ED","School Safely National Activities","2021"
"ED","School Safely National Activities","2022"
"ED","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","2021"
"ED","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","2022"
"ED","Special Education - Special Olympics Education Programs","2022"
"ED","Special Education - State Personnel Development","2021"
"ED","Special Education - State Personnel Development","2022"
"ED","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","2021"
"ED","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","2022"
"ED","Special Education Grants to States","2021"
"ED","Special Education Grants to States","2022"
"ED","Special Education Grants to States","2023"
"ED","Special Education Parent Information Centers","2021"
"ED","Special Education Parent Information Centers","2022"
"ED","Special Education Preschool Grants","2021"
"ED","Special Education Preschool Grants","2022"
"ED","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","2022"
"ED","Special Education Technical Assistance on State Data Collection","2021"
"ED","Special Education Technical Assistance on State Data Collection","2022"
"ED","Special Education-Grants for Infants and Families","2021"
"ED","Special Education-Grants for Infants and Families","2022"
"ED","Statewide Family Engagement Centers","2021"
"ED","Statewide Family Engagement Centers","2022"
"ED","Statewide Longitudinal Data Systems","2021"
"ED","Strengthening Minority-Serving Institutions","2021"
"ED","Strengthening Minority-Serving Institutions","2022"
"ED","Student Support and Academic Enrichment Program","2021"
"ED","Student Support and Academic Enrichment Program","2022"
"ED","Supplemental Education Grants","2021"
"ED","Supported Employment Services for Individuals with the Most Significant Disabilities","2021"
"ED","Supported Employment Services for Individuals with the Most Significant Disabilities","2022"
"ED","Supporting Effective Educator Development Program","2021"
"ED","Supporting Effective Educator Development Program","2022"
"ED","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)","2021"
"ED","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)","2022"
"ED","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","2021"
"ED","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","2022"
"ED","Teacher Education Assistance for College and Higher Education Grant (TEACH)","2021"
"ED","Teacher Education Assistance for College and Higher Education Grant (TEACH)","2022"
"ED","Teacher Quality Partnership Grants","2021"
"ED","Teacher Quality Partnership Grants","2022"
"ED","Temporary Emergency Impact Aid for Displaced Students","2021"
"ED","Title I Grants to Local Educational Agencies","2021"
