"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"DOL","2022","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0","No","Yes","No"
"DOL","2023","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0","","No","No"
"DOL","2024","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0","","No","No"
"DOL","2025","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0","","Yes","No"
"DOL","2021","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Emergency Unemployment Compensation","","","No",""
"DOL","2024","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Emergency Unemployment Compensation","0","","Yes","No"
"DOL","2021","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","","","Yes","Yes"
"DOL","2022","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","","","No","Yes"
"DOL","2023","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","0","","Yes","Yes"
"DOL","2024","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","","","No","Yes"
"DOL","2023","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Compensation","","","No",""
"DOL","2023","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemplyment Compensation","0","","No",""
"DOL","2025","Employment & Training Administration - WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants","","","No",""
"DOL","2025","Employment & Training Administration - WIOA Dislocated Worker National Reserve Technical Assistance and Training","0","","Yes","No"
"DOL","2025","Employment & Training Administration - WIOA National Dislocated Worker Grants / WIA National Emergency Grants","0","","Yes","No"
"DOL","2025","Employment & Training Administration - Work Opportunity Tax Credit Program (WOTC)","0","","Yes","No"
"DOL","2019","Employment & Training Administration - Workforce Data Quality Initiative","","No","Yes","No"
"DOL","2020","Employment & Training Administration - Workforce Data Quality Initiative","","","No","No"
"DOL","2021","Employment & Training Administration - Workforce Data Quality Initiative","","","No","No"
"DOL","2022","Employment & Training Administration - Workforce Data Quality Initiative","","","No","No"
"DOL","2023","Employment & Training Administration - Workforce Data Quality Initiative","0","","No","No"
"DOL","2024","Employment & Training Administration - Workforce Data Quality Initiative","0","","No","No"
"DOL","2025","Employment & Training Administration - Workforce Data Quality Initiative","","","No","No"
"DOL","2017","Employment & Training Administration - Workforce Information Etools","","","No",""
"DOL","2020","Employment & Training Administration - Workforce Information Etools","","NO","Yes","No"
"DOL","2021","Employment & Training Administration - Workforce Information Etools","","","No","No"
"DOL","2022","Employment & Training Administration - Workforce Information Etools","","","No","No"
"DOL","2023","Employment & Training Administration - Workforce Information Etools","0","","No","No"
"DOL","2024","Employment & Training Administration - Workforce Information Etools","0","","No","No"
"DOL","2025","Employment & Training Administration - Workforce Information Etools","","","No","No"
"DOL","2018","Employment & Training Administration - Youth Activities","","","No",""
"DOL","2021","Employment & Training Administration - Youth Activities","","No","Yes","No"
"DOL","2022","Employment & Training Administration - Youth Activities","","","No","No"
"DOL","2023","Employment & Training Administration - Youth Activities","0","","No","No"
"DOL","2024","Employment & Training Administration - Youth Activities","0","","Yes","No"
"DOL","2025","Employment & Training Administration - Youth Activities","","","No","No"
"DOL","2018","Employment & Training Administration - YouthBuild","","","No",""
"DOL","2021","Employment & Training Administration - YouthBuild","","No","Yes","No"
"DOL","2022","Employment & Training Administration - YouthBuild","","","No","No"
"DOL","2023","Employment & Training Administration - YouthBuild","0","","No","No"
"DOL","2024","Employment & Training Administration - YouthBuild","0","","Yes","No"
"DOL","2025","Employment & Training Administration - YouthBuild","","","No","No"
"DOL","2017","Employment and Training Administration - National Dislocated Worker Grants (NDWG)","","","No",""
"DOL","2018","Employment and Training Administration - National Dislocated Worker Grants (NDWG)","","","No",""
"DOL","2019","Employment and Training Administration - National Dislocated Worker Grants (NDWG)","","","No",""
"DOL","2020","Employment and Training Administration - National Dislocated Worker Grants (NDWG)","","","Yes","No"
"DOL","2021","Employment and Training Administration - National Dislocated Worker Grants (NDWG)","","","No","No"
"DOL","2021","Employment and Training Administration - National Dislocated Worker Grants/Dislocated Worker National Reserve.   ","","","No",""
"DOL","2021","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Unemployment Assistance","","Yes","No",""
"DOL","2015","Employment and Training Administration - WIOA - Dislocated Worker Employment and Training Activities","","","Yes","No"
"DOL","2017","Employment and Training Administration - WIOA - Dislocated Worker Employment and Training Activities","","","No","No"
"DOL","2018","Employment and Training Administration - WIOA - Dislocated Worker Employment and Training Activities","","","No","No"
"DOL","2019","Employment and Training Administration - WIOA - Dislocated Worker Employment and Training Activities","","","No","No"
"DOL","2020","Employment and Training Administration - WIOA - Dislocated Worker Employment and Training Activities","","","No","No"
"DOL","2021","Employment and Training Administration - WIOA - Dislocated Worker Employment and Training Activities","","","No","No"
"DOL","2017","ETA management and other","","","No",""
"DOL","2021","ETA management and other","","","No",""
"DOL","2014","Hurricane Sandy Funds Provided by the Disaster Relief Appropriations Act of 2013","","","Yes","No"
"DOL","2017","Hurricane Sandy Funds Provided by the Disaster Relief Appropriations Act of 2013","","","No","No"
"DOL","2018","Hurricane Sandy Funds Provided by the Disaster Relief Appropriations Act of 2013","","","No","No"
"DOL","2019","Hurricane Sandy Funds Provided by the Disaster Relief Appropriations Act of 2013","","","No","No"
"DOL","2020","Hurricane Sandy Funds Provided by the Disaster Relief Appropriations Act of 2013","","","No","No"
"DOL","2021","Hurricane Sandy Funds Provided by the Disaster Relief Appropriations Act of 2013","","","No","No"
"DOL","2017","International Labor Affairs Bureau","","","No",""
"DOL","2018","International Labor Affairs Bureau","","","No",""
"DOL","2021","International Labor Affairs Bureau","","No","Yes","No"
"DOL","2022","International Labor Affairs Bureau","","","No","No"
"DOL","2023","International Labor Affairs Bureau","0","","No","No"
"DOL","2024","International Labor Affairs Bureau","0","","Yes","No"
"DOL","2025","International Labor Affairs Bureau","","","No","No"
"DOL","2017","Mine Health and Safety and Safety Counseling and Technical Assistance","","","No",""
"DOL","2019","Mine Health and Safety and Safety Counseling and Technical Assistance","","No","No",""
"DOL","2021","Mine Health and Safety and Safety Counseling and Technical Assistance","","","No",""
"DOL","2022","Mine Health and Safety and Safety Counseling and Technical Assistance","0","No","Yes","No"
"DOL","2023","Mine Health and Safety and Safety Counseling and Technical Assistance","0","","No","No"
"DOL","2024","Mine Health and Safety and Safety Counseling and Technical Assistance","0","","No","No"
"DOL","2019","Mine Safety and Health Administration","","","Yes","No"
"DOL","2020","Mine Safety and Health Administration","","","No","No"
"DOL","2021","Mine Safety and Health Administration","","","No","No"
"DOL","2022","Mine Safety and Health Administration","","","Yes","No"
"DOL","2023","Mine Safety and Health Administration","","","No","No"
"DOL","2024","Mine Safety and Health Administration","","","No","No"
"DOL","2025","Mine Safety and Health Administration","0","","Yes","No"
"DOL","2022","Mine Safety and Health Administration - Brookwood-Sago Grant","","","Yes","No"
"DOL","2025","Mine Safety and Health Administration - Brookwood-Sago Grant","","","No","No"
"DOL","2025","Mine Safety and Health Administration - Mine Health and Safety Counseling and Technical Assistance","","","No",""
"DOL","2022","Mine Safety and Health Administration - Mine Health and Safety Project Grants","","","Yes","No"
"DOL","2025","Mine Safety and Health Administration - Mine Health and Safety Project Grants","","","No","No"
"DOL","2022","Mine Safety and Health Administration - Safety and Health Cooperative Grants","","","Yes","No"
"DOL","2025","Mine Safety and Health Administration - Safety and Health Cooperative Grants","","","No","No"
"DOL","2020","Occupational Safety and Health Administration","","","Yes","No"
"DOL","2021","Occupational Safety and Health Administration","","","No","No"
"DOL","2022","Occupational Safety and Health Administration","","","No","No"
"DOL","2023","Occupational Safety and Health Administration","","","Yes","No"
"DOL","2024","Occupational Safety and Health Administration","","","No","No"
"DOL","2017","Occupational Safety and Health Administration - Consultation Agreements","","","No",""
"DOL","2020","Occupational Safety and Health Administration - Consultation Agreements","","NO","No",""
"DOL","2021","Occupational Safety and Health Administration - Consultation Agreements","","","No",""
"DOL","2022","Occupational Safety and Health Administration - Consultation Agreements","","","No",""
"DOL","2023","Occupational Safety and Health Administration - Consultation Agreements","0","","Yes","No"
"DOL","2024","Occupational Safety and Health Administration - Consultation Agreements","0","","No","No"
"DOL","2025","Occupational Safety and Health Administration - Consultation Agreements","","","No","No"
"DOL","2023","Occupational Safety and Health Administration - State Programs","","","Yes","No"
"DOL","2025","Occupational Safety and Health Administration - State Programs","","","No","No"
"DOL","2023","Occupational Safety and Health Administration - Susan Harwood Training Grants","","","Yes","No"
"DOL","2025","Occupational Safety and Health Administration - Susan Harwood Training Grants","","","No","No"
"DOL","2023","Occupational Safety and Health Program","","","Yes","No"
"DOL","2025","Occupational Safety and Health Program","","","No","No"
"DOL","2017","Office of Disability Employment Policy","","","No",""
"DOL","2018","Office of Disability Employment Policy","","","No",""
"DOL","2021","Office of Disability Employment Policy","","No","Yes","No"
"DOL","2022","Office of Disability Employment Policy","","","No","No"
"DOL","2023","Office of Disability Employment Policy","0","","No","No"
"DOL","2024","Office of Disability Employment Policy","0","","Yes","No"
"DOL","2025","Office of Disability Employment Policy","","","No","No"
"DOL","2017","Office of Federal Contract Compliance Programs","","","No",""
"DOL","2018","Office of Federal Contract Compliance Programs","","","No",""
"DOL","2021","Office of Federal Contract Compliance Programs","","No","Yes","No"
"DOL","2022","Office of Federal Contract Compliance Programs","","","No","No"
"DOL","2023","Office of Federal Contract Compliance Programs","0","","No","No"
"DOL","2024","Office of Federal Contract Compliance Programs","0","","Yes","No"
"DOL","2025","Office of Federal Contract Compliance Programs","","","No","No"
"DOL","2017","Office of Labor-Management Standards","","","No",""
"DOL","2019","Office of Labor-Management Standards","","No","Yes","No"
"DOL","2020","Office of Labor-Management Standards","","","No","No"
"DOL","2021","Office of Labor-Management Standards","","","No","No"
"DOL","2022","Office of Labor-Management Standards","0","No","Yes","No"
"DOL","2023","Office of Labor-Management Standards","0","","No","No"
"DOL","2024","Office of Labor-Management Standards","0","","No","No"
"DOL","2025","Office of Labor-Management Standards","0","","Yes","No"
"DOL","2017","Office of Workers' Compensation - Coal Mine Workers' Compensation","","","No",""
"DOL","2019","Office of Workers' Compensation - Coal Mine Workers' Compensation","","No","Yes","No"
"DOL","2020","Office of Workers' Compensation - Coal Mine Workers' Compensation","","","No","No"
"DOL","2021","Office of Workers' Compensation - Coal Mine Workers' Compensation","","","No","No"
"DOL","2022","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","No","Yes","No"
"DOL","2023","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","","No","No"
"DOL","2024","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","","No","No"
"DOL","2025","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","","Yes","No"
"DOL","2017","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","","","No",""
"DOL","2020","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","","NO","Yes","No"
"DOL","2021","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","","","No","No"
"DOL","2022","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","","","No","No"
"DOL","2023","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","0","","Yes","No"
"DOL","2024","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","0","","No","No"
"DOL","2025","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","","","No","No"
"DOL","2017","Office of Workers' Compensation - Federal Employees' Compensation Act","","","No",""
"DOL","2018","Office of Workers' Compensation - Federal Employees' Compensation Act","","","No",""
"DOL","2019","Office of Workers' Compensation - Federal Employees' Compensation Act","","Yes","No",""
"DOL","2020","Office of Workers' Compensation - Federal Employees' Compensation Act","","YES","Yes","Yes"
"DOL","2021","Office of Workers' Compensation - Federal Employees' Compensation Act","","","Yes","Yes"
"DOL","2022","Office of Workers' Compensation - Federal Employees' Compensation Act","","","Yes","Yes"
"DOL","2023","Office of Workers' Compensation - Federal Employees' Compensation Act","0","","Yes","Yes"
"DOL","2024","Office of Workers' Compensation - Federal Employees' Compensation Act","0","","Yes","Yes"
"DOL","2025","Office of Workers' Compensation - Federal Employees' Compensation Act","0","","Yes","Yes"
"DOL","2017","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","","","No",""
"DOL","2019","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","","No","Yes","No"
"DOL","2020","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","","","No","No"
"DOL","2021","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","","","No","No"
"DOL","2022","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","No","Yes","No"
"DOL","2023","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","","No","No"
"DOL","2024","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","","No","No"
"DOL","2025","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","","Yes","No"
"DOL","2017","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","","","No",""
"DOL","2019","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","","No","Yes","No"
"DOL","2020","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","","","No","No"
"DOL","2021","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","","","No","No"
"DOL","2022","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","No","Yes","No"
"DOL","2023","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","","No","No"
"DOL","2024","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","","No","No"
"DOL","2025","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","","Yes","No"
"DOL","2017","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","","","No",""
"DOL","2018","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","","","No",""
"DOL","2021","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","","No","Yes","No"
"DOL","2022","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","","","No","No"
"DOL","2023","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","0","","No","No"
"DOL","2024","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","0","","Yes","No"
"DOL","2025","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","","","No","No"
"DOL","2017","Veterans Employment Training Service - Jobs for Veterans State Grants","","","No",""
"DOL","2018","Veterans Employment Training Service - Jobs for Veterans State Grants","","","No",""
"DOL","2020","Veterans Employment Training Service - Jobs for Veterans State Grants","","NO","Yes","No"
"DOL","2021","Veterans Employment Training Service - Jobs for Veterans State Grants","","","No","No"
"DOL","2022","Veterans Employment Training Service - Jobs for Veterans State Grants","","","No","No"
"DOL","2023","Veterans Employment Training Service - Jobs for Veterans State Grants","0","","Yes","No"
"DOL","2024","Veterans Employment Training Service - Jobs for Veterans State Grants","0","","No","No"
"DOL","2025","Veterans Employment Training Service - Jobs for Veterans State Grants","","","No","No"
"DOL","2017","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","","","No",""
"DOL","2021","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","","No","Yes","No"
"DOL","2022","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","","","No","No"
"DOL","2023","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","0","","No","No"
"DOL","2024","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","0","","Yes","No"
"DOL","2025","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","","","No","No"
"DOL","2017","Wage and Hour Division","","","No",""
"DOL","2020","Wage and Hour Division","","NO","Yes","No"
"DOL","2021","Wage and Hour Division","","","No","No"
"DOL","2022","Wage and Hour Division","","","No","No"
"DOL","2023","Wage and Hour Division","0","","Yes","No"
"DOL","2024","Wage and Hour Division","0","","No","No"
"DOL","2025","Wage and Hour Division","","","No","No"
"DOL","2025","Women’s Bureau - Women in Apprenticeship and Nontraditional Occupations Technical Assistance","","","No",""
"DOL","2017","Women's Bureau","","","No",""
"DOL","2018","Women's Bureau","","","No",""
"DOL","2021","Women's Bureau","","","No",""
"DOL","2022","Women's Bureau","","","No",""
"DOL","2023","Women's Bureau","0","","Yes","No"
"DOL","2024","Women's Bureau","","","No","No"
"DOL","2025","Women's Bureau","","","No","No"
"DOT","2025","Aviation Research Grants","","","No",""
"DOT","2025","Behavioral Traffic Safety Cooperative Research","","","No",""
"DOT","2025","Bridge and Other Transportation Infrastructure Research Program","","","No",""
"DOT","2024","Capital Construction Fund","","","No",""
"DOT","2025","Capital Construction Fund","","","No",""
"DOT","2024","Construction Reserve Fund","","","No",""
"DOT","2025","Construction Reserve Fund","","","No",""
"DOT","2025","Driver Alcohol Detection System for Safety","","","No",""
"DOT","2022","Federal Aviation Administration Airport Concessionaire Relief","0","No","Yes","No"
"DOT","2023","Federal Aviation Administration Airport Concessionaire Relief","0","","No","No"
"DOT","2024","Federal Aviation Administration Airport Concessionaire Relief","0","","No","No"
"DOT","2025","Federal Aviation Administration Airport Concessionaire Relief","","","No","No"
"DOT","2023","Federal Aviation Administration Airport Response Grant Program","0","","Yes","No"
"DOT","2024","Federal Aviation Administration Airport Response Grant Program","0","","No","No"
"DOT","2025","Federal Aviation Administration Airport Response Grant Program","","","No","No"
"DOT","2017","Federal Aviation Administration Facilities and Equipment","","","No",""
"DOT","2018","Federal Aviation Administration Facilities and Equipment","","","No",""
"DOT","2019","Federal Aviation Administration Facilities and Equipment","","","No",""
"DOT","2020","Federal Aviation Administration Facilities and Equipment","","NO","Yes","No"
"DOT","2021","Federal Aviation Administration Facilities and Equipment","","","No","No"
"DOT","2022","Federal Aviation Administration Facilities and Equipment","","","No","No"
"DOT","2023","Federal Aviation Administration Facilities and Equipment","0","","Yes","No"
"DOT","2024","Federal Aviation Administration Facilities and Equipment","0","","No","No"
"DOT","2025","Federal Aviation Administration Facilities and Equipment","","","No","No"
"DOT","2017","Federal Aviation Administration Franchise Fund","","","No",""
"DOT","2020","Federal Aviation Administration Franchise Fund","","NO","Yes","No"
"DOT","2021","Federal Aviation Administration Franchise Fund","","","No","No"
"DOT","2022","Federal Aviation Administration Franchise Fund","","","No","No"
"DOT","2023","Federal Aviation Administration Franchise Fund","0","","Yes","No"
"DOT","2024","Federal Aviation Administration Franchise Fund","0","","No","No"
"DOT","2025","Federal Aviation Administration Franchise Fund","","","No","No"
"DOT","2017","Federal Aviation Administration Grants-in-Aid for Airports","","","No",""
"DOT","2018","Federal Aviation Administration Grants-in-Aid for Airports","","","No",""
"DOT","2019","Federal Aviation Administration Grants-in-Aid for Airports","","No","Yes","No"
"DOT","2020","Federal Aviation Administration Grants-in-Aid for Airports","","","No","No"
"DOT","2021","Federal Aviation Administration Grants-in-Aid for Airports","","No","Yes","No"
"DOT","2022","Federal Aviation Administration Grants-in-Aid for Airports","","No","Yes","No"
"DOT","2023","Federal Aviation Administration Grants-in-Aid for Airports","0","","No","No"
"DOT","2024","Federal Aviation Administration Grants-in-Aid for Airports","0","","No","No"
"DOT","2025","Federal Aviation Administration Grants-in-Aid for Airports","0","","Yes","No"
"DOT","2017","Federal Aviation Administration Operations","","","No",""
"DOT","2020","Federal Aviation Administration Operations","","NO","Yes","No"
"DOT","2021","Federal Aviation Administration Operations","","","Yes","No"
"DOT","2022","Federal Aviation Administration Operations","","","No","No"
"DOT","2023","Federal Aviation Administration Operations","0","","Yes","No"
"DOT","2024","Federal Aviation Administration Operations","0","","No","No"
"DOT","2025","Federal Aviation Administration Operations","","","No","No"
"DOT","2017","Federal Aviation Administration Research, Engineering and Development","","","No",""
"DOT","2020","Federal Aviation Administration Research, Engineering and Development","","NO","Yes","No"
"DOT","2021","Federal Aviation Administration Research, Engineering and Development","","","No","No"
"DOT","2022","Federal Aviation Administration Research, Engineering and Development","","","No","No"
"DOT","2023","Federal Aviation Administration Research, Engineering and Development","0","","Yes","No"
"DOT","2024","Federal Aviation Administration Research, Engineering and Development","0","","No","No"
"DOT","2025","Federal Aviation Administration Research, Engineering and Development","","","No","No"
"DOT","2017","Federal Highway Administration Highway Planning and Construction","","","No",""
"DOT","2018","Federal Highway Administration Highway Planning and Construction","","","No",""
"DOT","2019","Federal Highway Administration Highway Planning and Construction","","","No",""
"DOT","2020","Federal Highway Administration Highway Planning and Construction","","","Yes","Yes"
"DOT","2021","Federal Highway Administration Highway Planning and Construction","","","Yes","Yes"
"DOT","2022","Federal Highway Administration Highway Planning and Construction","","","Yes","Yes"
"DOT","2023","Federal Highway Administration Highway Planning and Construction","0","","Yes","No"
"DOT","2024","Federal Highway Administration Highway Planning and Construction","0","","Yes","Yes"
"DOT","2025","Federal Highway Administration Highway Planning and Construction","0","","Yes","Yes"
"DOT","2020","Federal Highway Administration Other Grant Programs and Cooperative Agreements","","NO","Yes","No"
"DOT","2021","Federal Highway Administration Other Grant Programs and Cooperative Agreements","","","No","No"
"DOT","2022","Federal Highway Administration Other Grant Programs and Cooperative Agreements","","","No","No"
"DOT","2023","Federal Highway Administration Other Grant Programs and Cooperative Agreements","0","","Yes","No"
"DOT","2024","Federal Highway Administration Other Grant Programs and Cooperative Agreements","0","","No","No"
"DOT","2025","Federal Highway Administration Other Grant Programs and Cooperative Agreements","","","No","No"
"DOT","2017","Federal Highway Administration Research Programs","","","No",""
"DOT","2020","Federal Highway Administration Research Programs","","NO","Yes","No"
"DOT","2021","Federal Highway Administration Research Programs","","","No","No"
"DOT","2022","Federal Highway Administration Research Programs","","","No","No"
"DOT","2023","Federal Highway Administration Research Programs","0","","Yes","No"
"DOT","2024","Federal Highway Administration Research Programs","0","","No","No"
"DOT","2025","Federal Highway Administration Research Programs","","","No","No"
"DOT","2017","Federal Highway Administration Salaries and Expenses","","","No",""
"DOT","2020","Federal Highway Administration Salaries and Expenses","","NO","Yes","No"
"DOT","2021","Federal Highway Administration Salaries and Expenses","","","No","No"
"DOT","2022","Federal Highway Administration Salaries and Expenses","","","No","No"
"DOT","2023","Federal Highway Administration Salaries and Expenses","0","","Yes","No"
"DOT","2024","Federal Highway Administration Salaries and Expenses","0","","No","No"
"DOT","2025","Federal Highway Administration Salaries and Expenses","","","No","No"
"DOT","2017","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","","","No",""
"DOT","2020","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","","NO","Yes","No"
"DOT","2021","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","","","No","No"
"DOT","2022","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","","","No","No"
"DOT","2023","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","0","","Yes","No"
"DOT","2024","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","0","","No","No"
"DOT","2025","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","","","No","No"
"DOT","2017","Federal Motor Carrier Safety Administration Operations and Programs","","","No",""
"DOT","2020","Federal Motor Carrier Safety Administration Operations and Programs","","NO","Yes","No"
"DOT","2021","Federal Motor Carrier Safety Administration Operations and Programs","","","No","No"
"DOT","2022","Federal Motor Carrier Safety Administration Operations and Programs","","","No","No"
"DOT","2023","Federal Motor Carrier Safety Administration Operations and Programs","0","","Yes","No"
"DOT","2024","Federal Motor Carrier Safety Administration Operations and Programs","0","","No","No"
"DOT","2025","Federal Motor Carrier Safety Administration Operations and Programs","","","No","No"
"DOT","2017","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","","No",""
"DOT","2018","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","","No",""
"DOT","2019","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","No","Yes","No"
"DOT","2020","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","","No","No"
"DOT","2021","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","No","Yes","No"
"DOT","2022","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","No","Yes","No"
"DOT","2023","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","","No","No"
"DOT","2024","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","","No","No"
"DOT","2025","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","","Yes","No"
"DOT","2017","Federal Railroad Administration High-Speed Intercity Passenger Rail","","","No",""
"DOT","2018","Federal Railroad Administration High-Speed Intercity Passenger Rail","","","No",""
"DOT","2019","Federal Railroad Administration High-Speed Intercity Passenger Rail","","","No",""
"DOT","2020","Federal Railroad Administration High-Speed Intercity Passenger Rail","","NO","Yes","No"
"DOT","2021","Federal Railroad Administration High-Speed Intercity Passenger Rail","","","No","No"
"DOT","2022","Federal Railroad Administration High-Speed Intercity Passenger Rail","","","No","No"
"DOT","2023","Federal Railroad Administration High-Speed Intercity Passenger Rail","0","","Yes","No"
"DOT","2024","Federal Railroad Administration High-Speed Intercity Passenger Rail","0","","No","No"
"DOT","2025","Federal Railroad Administration High-Speed Intercity Passenger Rail","","","No","No"
"DOT","2017","Federal Railroad Administration Other Grant Programs","","","No",""
"DOT","2020","Federal Railroad Administration Other Grant Programs","","NO","Yes","No"
"DOT","2021","Federal Railroad Administration Other Grant Programs","","","No","No"
"DOT","2022","Federal Railroad Administration Other Grant Programs","","","No","No"
"DOT","2023","Federal Railroad Administration Other Grant Programs","0","","Yes","No"
"DOT","2024","Federal Railroad Administration Other Grant Programs","0","","No","No"
"DOT","2025","Federal Railroad Administration Other Grant Programs","","","No","No"
"DOT","2017","Federal Railroad Administration Railroad Research and Development","","","No",""
"DOT","2020","Federal Railroad Administration Railroad Research and Development","","NO","Yes","No"
"DOT","2021","Federal Railroad Administration Railroad Research and Development","","","No","No"
"DOT","2022","Federal Railroad Administration Railroad Research and Development","","","No","No"
"DOT","2023","Federal Railroad Administration Railroad Research and Development","0","","Yes","No"
"DOT","2024","Federal Railroad Administration Railroad Research and Development","0","","No","No"
"DOT","2025","Federal Railroad Administration Railroad Research and Development","","","No","No"
"DOT","2017","Federal Railroad Administration Safety and Operations","","","No",""
"DOT","2020","Federal Railroad Administration Safety and Operations","","NO","Yes","No"
"DOT","2021","Federal Railroad Administration Safety and Operations","","","No","No"
"DOT","2022","Federal Railroad Administration Safety and Operations","","","No","No"
"DOT","2023","Federal Railroad Administration Safety and Operations","0","","Yes","No"
"DOT","2024","Federal Railroad Administration Safety and Operations","0","","No","No"
"DOT","2025","Federal Railroad Administration Safety and Operations","","","No","No"
"DOT","2017","Federal Transit Administration Administrative Expenses","","","No",""
"DOT","2020","Federal Transit Administration Administrative Expenses","","NO","Yes","No"
"DOT","2021","Federal Transit Administration Administrative Expenses","","","No","No"
"DOT","2022","Federal Transit Administration Administrative Expenses","","","No","No"
"DOT","2023","Federal Transit Administration Administrative Expenses","0","","Yes","No"
"DOT","2024","Federal Transit Administration Administrative Expenses","0","","No","No"
"DOT","2025","Federal Transit Administration Administrative Expenses","","","No","No"
"DOT","2017","Federal Transit Administration Capital Investment Grants","","","No",""
"DOT","2018","Federal Transit Administration Capital Investment Grants","","","No",""
"DOT","2019","Federal Transit Administration Capital Investment Grants","","","No",""
"DOT","2020","Federal Transit Administration Capital Investment Grants","","NO","Yes","No"
"DOT","2021","Federal Transit Administration Capital Investment Grants","","","No","No"
"DOT","2022","Federal Transit Administration Capital Investment Grants","","","No","No"
"DOT","2023","Federal Transit Administration Capital Investment Grants","0","","Yes","No"
"DOT","2024","Federal Transit Administration Capital Investment Grants","0","","No","No"
