"Fiscal_Year","Agency","Program_Name","Column_names","Multiselect_Text","Question","Section","Reporting_Phases_Current_FY"
"2023","USDA","Emergency Conservation Program","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_atp1_8","Automation","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments",""
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_atp1_8","Behavioral/Psych Influence","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","DHS","Immigration and Customs Enforcement - Procurement, Construction, and Improvements - Disaster Supplemental Funds","cyp5_atp1_8","","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Change Process","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Audit","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp7_atp1_8","","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","DOW","Military Pay Army – National Guard","cyp7_atp1_8","Change Process","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp3_atp1_8","Cross Enterprise Sharing","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp2_app1_8","Behavioral/Psych Influence","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","School Breakfast Program","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp2_atp1_8","Predictive Analytics","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control",""
"2023","DOW","Civilian Pay","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","SBA","Paycheck Protection Program (PPP) Loan Guaranty Purchases","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control",""
"2025","SSA","Supplemental Security Income (SSI)","cyp5_app1_8","Audit","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Automation","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Predictive Analytics","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Behavioral/Psych Influence","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp5_atp1_8","Cross Enterprise Sharing","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2024","TREASURY","Internal Revenue Service - Child and Dependent Care Tax Credit","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","CNCS","The Foster Grandparent Program (FGP)","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","CNCS","The Foster Grandparent Program (FGP)","cyp7_app1_8","Training","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","USDA","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","CNCS","The Senior Companion Program (SCP)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","Federal Crop Insurance Corporation (FCIC)","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2024","SBA","7(a) Loan Guarantees Purchases","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp5_atp1_8","Automation","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp5_atp1_8","Behavioral/Psych Influence","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp5_atp1_8","Audit","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2023","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp3_app1_8","Change Process","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","Federal Crop Insurance Corporation (FCIC)","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments",""
"2024","USDA","Federal Crop Insurance Corporation (FCIC)","cyp7_atp1_8","","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments",""
"2023","OPM","Federal Retirement Services","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2025","ED","Education Stabilization Fund","cyp5_atp1_8","","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","cyp7_atp1_8","Change Process","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","cyp7_app1_8","Training","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","cyp7_app1_8","Change Process","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","USDA","Federal Crop Insurance Corporation (FCIC)","cyp5_atp1_8","Audit","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2024","VA","VA Community Care","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","School Breakfast Program","cyp7_atp1_8","","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments",""
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_app1_8","Behavioral/Psych Influence","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_app1_8","Automation","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SSA","Disability Insurance (DI)","cyp5_app1_8","Audit","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DHS","Federal Emergency Management Agency - Funeral Assistance","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","OPM","Federal Retirement Services","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","OPM","Federal Retirement Services","cyp5_atp1_8","Audit","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","OPM","Federal Retirement Services","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","OPM","Federal Retirement Services","cyp7_atp1_8","Training","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","OPM","Federal Retirement Services","cyp7_atp1_8","Audit","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","cyp5_app1_8","","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2024","USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_atp1_8","Audit","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp2_atp1_8","Automation","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control",""
"2023","SBA","Economic Injury Disaster Loan Emergency Assistance (Advance)","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","SBA","504 Certified Development Loans Approvals","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","USDA","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","cyp6_app1_8","Change Process","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","SBA","Economic Injury Disaster Loan Emergency Assistance (Advance)","cyp2_atp1_8","Audit","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","SBA","7(a) Loan Guarantees Purchases","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","SBA","7(a) Loan Guarantees Purchases","cyp7_atp1_8","","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_app1_8","Automation","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2024","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_app1_8","Cross Enterprise Sharing","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp6_app1_8","Audit","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp3_app1_8","Cross Enterprise Sharing","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp21_app1_8","Automation","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp21_app1_8","Training","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp21_app1_8","Behavioral/Psych Influence","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","USDA","Federal Crop Insurance Corporation (FCIC)","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SSA","Supplemental Security Income (SSI)","cyp21_atp1_8","Predictive Analytics","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","cyp7_atp1_8","","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","SBA","7(a) Loan Guarantees Purchases","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOW","Military Pay Army – National Guard","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOW","Military Pay Army – National Guard","cyp7_app1_8","Training","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","USDA","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","cyp2_app1_8","Change Process","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","cyp2_atp1_8","Change Process","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp3_atp1_8","Cross Enterprise Sharing","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","SBA","Shuttered Venue Operators Grant Program","cyp5_atp1_8","","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements - Disaster Supplemental Funds","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control",""
"2023","USDA","National School Lunch Program","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments",""
"2023","USDA","National School Lunch Program","cyp5_atp1_8","Change Process","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","cyp3_app1_8","Change Process","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","OPM","Federal Retirement Services","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","cyp5_atp1_8","Audit","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Child and Dependent Care Tax Credit","cyp5_atp1_8","","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_app1_8","Audit","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_atp1_8","Change Process","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments",""
"2025","FCC","Universal Service Fund – Lifeline","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","TREASURY","Departmental Offices - Emergency Rental Assistance","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency - Public Assistance - Validate as You Go","cyp7_app1_8","Automation","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments",""
