"Agency","Program Name","Assistance Listing Number"
"DOT","Federal Transit Administration Formula Grants","20.525"
"DOT","Federal Transit Administration Formula Grants","20.526"
"DOT","Federal Transit Administration Formula Grants","20.529"
"DOT","Federal Transit Administration Formula Grants","20.53"
"DOT","Federal Transit Administration Formula Grants","20.532"
"DOT","Federal Transit Administration Formula Grants","20.507"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.533"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.534"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.509"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.513"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.525"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.526"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.529"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.53"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.532"
"DOT","Federal Transit Administration Transit Infrastructure Grants","20.507"
"DOT","Maritime Administration Student Incentive Program","20.806"
"DOT","Maritime Administration Student Incentive Program","20.807"
"DOT","Maritime Administration Student Incentive Program","20.821"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.6"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.607"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.608"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.611"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.614"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.615"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","20.616"
"DOT","Office of the Secretary Grant Programs","20.701"
"DOT","Office of the Secretary Grant Programs","20.901"
"DOT","Office of the Secretary Grant Programs","20.91"
"DOT","Office of the Secretary Grant Programs","20.93"
"DOT","Office of the Secretary Grant Programs","20.943"
"DOT","Office of the Secretary Grant Programs","20.944"
"DOT","Office of the Secretary Grant Programs","20.945"
"DOT","Office of the Secretary Grant Programs","20.946"
"DOT","Office of the Secretary Grant Programs","20.947"
"DOT","Office of the Secretary Grant Programs","20.948"
"DOT","Office of the Secretary Grant Programs","20.949"
"DOT","Office of the Secretary Grant Programs","20.941"
"DOT","Office of the Secretary Grant Programs","20.942"
"DOT","Office of the Secretary Loan Programs","20.223"
"DOT","Office of the Secretary Loan Programs","20.316"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.936"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.933"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.934"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.937"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.938"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.939"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","20.94"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.7"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.703"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.706"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.707"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.708"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.71"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.72"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.721"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.723"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.724"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","20.725"
"DOT","Maritime Administration Assistance Programs","20.813"
"DOT","Maritime Administration Assistance Programs","20.814"
"DOT","Maritime Administration Assistance Programs","20.816"
"DOT","Maritime Administration Assistance Programs","20.817"
"DOT","Maritime Administration Assistance Programs","20.818"
"DOT","Maritime Administration Assistance Programs","20.819"
"DOT","Maritime Administration Assistance Programs","20.82"
"DOT","Maritime Administration Assistance Programs","20.822"
"DOT","Maritime Administration Assistance Programs","20.824"
"DOT","Maritime Administration Assistance Programs","20.825"
"DOT","Maritime War Risk Insurance","20.803"
"DOT","Veterans Pilot Training Program","20.113"
"DOT","Aviation Research Grants","20.108"
"DOT","Behavioral Traffic Safety Cooperative Research","20.62"
"DOT","Bridge and Other Transportation Infrastructure Research Program","20.95"
"DOT","Driver Alcohol Detection System for Safety","20.618"
"DOT","Fueling Aviation's Sustainable Transition via Sustainable Aviation Fuels (FAST-SAF) and Low-Emissions Aviation Technologies (FAST-Tech) Grant","20.115"
"DOT","Motor Vehicle Safety Research","20.619"
"DOT","National Driver Register","20.606"
"DOT","Railroad Safety","20.301"
"DOT","State Electronic Data Collection (SEDC) Program Grant","20.617"
"DOT","State Process for Informing Consumers of Recalls","20.621"
"DOT","Transportation Planning, Research and Education","20.931"
"DOT","Transportation Research and Technology Advancement","20.909"
"DRA","Delta Program","90.2"
"EAC","Help America Vote Act Requirements Payments","90.401"
"EAC","Help America Vote Act Requirements Payments","90.401"
"EAC","Election Security Grants","90.404"
"EAC","Help America Vote College Program","90.4"
"ED","Adult Education - Basic Grants to States","84.002"
"ED","Alaska Native Educational Programs","84.356"
"ED","American Indian Vocational Rehabilitation Services","84.25"
"ED","American Printing House for the Blind","84.906"
"ED","Arts in Education","84.351"
"ED","Career and Technical Education - Basic Grants to States","84.048"
"ED","Career and Technical Education - Grants to Native Americans and Alaska Natives","84.101"
"ED","Charter Schools","84.282"
"ED","Child Care Access Means Parents in School","84.335"
"ED","Competitive Grants for State Assessments","84.368"
"ED","Comprehensive Centers","84.283"
"ED","Comprehensive Literacy Development","84.371"
"ED","Consolidated Grant to the Outlying Areas","84.403"
"ED","Credit Enhancement for Charter School Facilities","84.354"
"ED","DC Opportunity Scholarship Program","84.37"
"ED","Disability Innovation Fund (DIF)","84.421"
"ED","Disaster Recovery Assistance for Education","84.938"
"ED","Education for Homeless Children and Youth","84.196"
"ED","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","84.411"
"ED","Education Research, Development and Dissemination","84.305"
"ED","Education Stabilization Fund","84.425"
"ED","English Language Acquisition State Grants","84.365"
"ED","Federal Family Education Loan (FFEL)","84.032"
"ED","Federal Pell Grant Program","84.063"
"ED","Federal Perkins Loan (Perkins)","84.038"
"ED","Federal Supplemental Educational Opportunity Grant (FSEOG)","84.007"
"ED","Federal Work-Study","84.033"
"ED","Fund for the Improvement of Postsecondary Education","84.116"
"ED","Gaining Early Awareness and Readiness for Undergraduate Programs","84.334"
"ED","Gallaudet University","84.91"
"ED","Graduate Assistance in Areas of National Need","84.2"
"ED","Grants for State Assessments and Related Activities","84.369"
"ED","Health Education Assistance Loan (HEAL)","93.108"
"ED","Higher Education Institutional Aid","84.031"
"ED","Howard University","84.915"
"ED","Impact Aid","84.041"
"ED","Indian Education - Special Programs for Indian Children","84.299"
"ED","Indian Education Grants to Local Educational Agencies","84.06"
"ED","Innovative Approaches to Literacy; Promise Neighborhoods; Full-Service Community Schools; and Congressionally Directed Spending for Elementary and Secondary Education Community Projects","84.215"
"ED","Javits Gifted and Talented Students Education","84.206"
"ED","Magnet Schools Assistance","84.165"
"ED","Migrant Education College Assistance Migrant Program","84.149"
"ED","Migrant Education High School Equivalency Program","84.141"
"ED","Migrant Education State Grant Program","84.011"
"ED","Minority Science and Engineering Improvement","84.12"
"ED","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","84.015"
"ED","National Technical Institute for the Deaf","84.908"
"ED","Native Hawaiian Education","84.362"
"ED","Program of Protection and Advocacy of Individual Rights","84.24"
"ED","Ready-To-Learn Television","84.295"
"ED","Rehabilitation Long-Term Training","84.129"
"ED","Rehabilitation Services Client Assistance Program","84.161"
"ED","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","84.177"
"ED","Rehabilitation Services Service Projects","84.904"
"ED","Rehabilitation Services Vocational Rehabilitation Grants to States","84.126"
"ED","Research in Special Education","84.324"
"ED","Rural Education","84.358"
"ED","School Safely National Activities","84.184"
"ED","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","84.325"
"ED","Special Education - Special Olympics Education Programs","84.38"
"ED","Special Education - State Personnel Development","84.323"
"ED","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","84.327"
"ED","Special Education Grants to States","84.027"
"ED","Special Education Parent Information Centers","84.328"
"ED","Special Education Preschool Grants","84.173"
"ED","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","84.326"
"ED","Special Education Technical Assistance on State Data Collection","84.373"
"ED","Special Education-Grants for Infants and Families","84.181"
"ED","Statewide Family Engagement Centers","84.31"
"ED","Statewide Longitudinal Data Systems","84.372"
"ED","Strengthening Minority-Serving Institutions","84.382"
"ED","Student Support and Academic Enrichment Program","84.424"
"ED","Supported Employment Services for Individuals with the Most Significant Disabilities","84.187"
"ED","Supporting Effective Educator Development Program","84.423"
"ED","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)","84.367"
"ED","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","84.374"
"ED","Teacher Education Assistance for College and Higher Education Grant (TEACH)","84.379"
"ED","Teacher Quality Partnership Grants","84.336"
"ED","Title I Grants to Local Educational Agencies","84.01"
"ED","Title I State Agency Program for Neglected and Delinquent Children and Youth","84.013"
"ED","Transition Programs for Students with Intellectual Disabilities into Higher Education","84.407"
"ED","Tribally Controlled Postsecondary Career and Technical Institutions","84.245"
"ED","TRIO Educational Opportunity Centers","84.066"
"ED","TRIO McNair Post-Baccalaureate Achievement","84.217"
"ED","TRIO Student Support Services","84.042"
"ED","TRIO Talent Search","84.044"
"ED","TRIO Upward Bound","84.047"
"ED","Twenty-First Century Community Learning Centers","84.287"
"ED","William D. Ford Federal Direct Loan Program","84.268"
"ED","Adult Education National Leadership Activities","84.191"
"ED","American History and Civics Education","84.422"
"ED","American Overseas Research Centers","84.274"
"ED","Business and International Education Projects","84.153"
"ED","Career and Technical Education -- National Programs","84.051"
"ED","Centers for International Business Education","84.22"
"ED","Civil Rights Training and Advisory Services (also known as Equity Assistance Centers)","84.004"
"ED","Directed Grants and Awards","84.417"
"ED","Federal Real Property Assistance Program","84.145"
"ED","Impact Aid Facilities Maintenance","84.04"
"ED","Indian Education National Activities (State Tribal Education Partnership (STEP) and Native American Language (NAL)","84.415"
"ED","Innovative Rehabilitation Training","84.263"
"ED","International Research and Studies","84.017"
"ED","Language Resource Centers","84.229"
"ED","Migrant Education Coordination Program","84.144"
"ED","Native Hawaiian Career and Technical Education","84.259"
"ED","Overseas Programs - Doctoral Dissertation Research Abroad","84.022"
"ED","Overseas Programs - Faculty Research Abroad","84.019"
"ED","Overseas Programs - Group Projects Abroad","84.021"
"ED","Overseas Programs Special Bilateral Projects","84.018"
"ED","Randolph-Sheppard - Financial Relief and Restoration Payments","84.426"
"ED","Rehabilitation Services Demonstration and Training Programs","84.235"
"ED","Rehabilitation Short-Term Training","84.246"
"ED","Rehabilitation Training Technical Assistance Centers","84.264"
"ED","Special Education Studies and Evaluations","84.329"
"ED","Traditionally Underserved Populations","84.315"
"ED","Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind","84.16"
"ED","TRIO Staff Training Program","84.103"
"ED","Undergraduate International Studies and Foreign Language Programs","84.016"
"ED","Augustus F. Hawkins Centers of Excellence - Teacher Preparation and Development","84.428"
"ED","Congressionally Directed Spending - Rehabilitation Services and Disability Research","84.427"
"ED","Education Evaluation and Technical Assistance Grants","84.429"
"ED","Postsecondary Education Scholarships for Veteran's Dependents","84.408"
"EEOC","Employment Discrimination Private Bar Program (Private Attorney Referral)","30.005"
"EOP","Anti-Doping Activities","95.004"
"EOP","High Intensity Drug Trafficking Areas Program","95.001"
"EOP","DFC NATIONAL COMMUNITY ANTIDRUG COALITION INSTITUTE","95.003"
"EOP","Drug Court Training and Technical Assistance","95.005"
"EOP","Model Acts Program","95.006"
"EOP","Research and Data Analysis","95.007"
"EOP","Drug-Free Communities Support Program - National Youth Leadership Initiative","95.008"
"EOP","Congressional Directives","95.01"
"EPA","Greenhouse Gas Reduction Fund: Clean Communities Investment Accelerator","66.96"
"EPA","Greenhouse Gas Reduction Fund: National Clean Investment Fund","66.957"
"EPA","Greenhouse Gas Reduction Fund: Solar for All","66.959"
"EPA","Environmental and Climate Justice Community Change Grants Program","66.616"
"EPA","Environmental Justice Collaborative Problem- Solving Cooperative Agreement Program","66.306"
"EPA","Environmental Justice Government-to-Government (EJG2G) Program","66.312"
"EPA","Environmental Justice Small Grant Program","66.604"
"EPA","Environmental Justice Thriving Communities Grantmaking Program (EJ TCGM)","66.615"
"EPA","Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice","66.309"
"EPA","Air Pollution Control Program Support","66.001"
"EPA","Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants","66.813"
"EPA","Beach Monitoring and Notification Program Implementation Grants","66.472"
"EPA","Brownfields Job Training Cooperative Agreements","66.815"
"EPA","Brownfields Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements","66.818"
"EPA","Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements","66.814"
"EPA","Centers of Excellence for Stormwater Control Infrastructure Technologies Grant Program","66.49"
"EPA","Clean Heavy-Duty Vehicles Program","66.049"
"EPA","Clean Ports Program","66.051"
"EPA","Climate Pollution Reduction Grants","66.046"
"EPA","Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers","66.305"
"EPA","Congressionally Mandated Projects","66.202"
"EPA","Consolidated Pesticide Enforcement Cooperative Agreements","66.7"
"EPA","Construction Grants for Wastewater Treatment Works","66.418"
"EPA","Contaminated Alaska Native Claims Settlement Act Lands Assistance Agreements","66.965"
"EPA","Diesel Emission Reduction Act (DERA) National Grants","66.039"
"EPA","Diesel Emissions Reduction Act (DERA) State Grants","66.04"
"EPA","Direct Implementation Tribal Cooperative Agreements","66.473"
"EPA","Drinking Water System Infrastructure Resilience and Sustainability Program â€“ SDWA 1459A(l)","66.448"
"EPA","Enhanced Aquifer Use and Recharge Program","66.522"
"EPA","Environmental Education Grants Program","66.951"
"EPA","Environmental Finance Center Grants","66.203"
"EPA","Environmental Information Exchange Network Grant Program and Related Assistance","66.608"
"EPA","Environmental Policy and Innovation Grants","66.611"
"EPA","Environmental Protection Consolidated Grants for the Insular Areas - Program Support","66.6"
"EPA","Financial Assistance For Community Support Activities To Address Environmental Justice Issues","66.614"
"EPA","Geographic Programs - Chesapeake Bay Program","66.466"
"EPA","Geographic Programs - Chesapeake Bay Program Implementation, Regulatory/Accountability and Monitoring Grants","66.964"
"EPA","Geographic Programs - Coastal Wetlands Planning Protection and Restoration Act","66.124"
"EPA","Geographic Programs - Columbia River Basin Restoration (CRBR) Program","66.962"
"EPA","Geographic Programs - Great Lakes Restoration Initiative","66.469"
"EPA","Geographic Programs - Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component","66.13"
"EPA","Geographic Programs - Gulf of Mexico Program","66.475"
"EPA","Geographic Programs - Lake Champlain Basin Program","66.481"
"EPA","Geographic Programs - Lake Pontchartrain Basic Restoration Program (PRP) Improvement Fund","66.125"
"EPA","Geographic Programs - Long Island Sound Program","66.437"
"EPA","Geographic Programs - Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program","66.123"
"EPA","Geographic Programs - Puget Sound Protection and Restoration: Tribal Implementation Assistance Program","66.121"
"EPA","Geographic Programs - San Francisco Bay Water Quality","66.126"
"EPA","Geographic Programs - South Florida Geographic Initiatives Program","66.484"
"EPA","Geographic Programs - Southeast New England Coastal Watershed Restoration Program","66.129"
"EPA","Greenhouse Gas and Zero Emission On-road Mobile Source Standards","66.048"
"EPA","Hazardous Waste Management Grant Program for Tribes","66.812"
"EPA","Hazardous Waste Management State Program Support","66.801"
"EPA","Headquarters and Regional Underground Storage Tanks Program","66.816"
"EPA","Healthy Communities Grant Program","66.11"
"EPA","Healthy Environmental Living Program (HELP)","66.963"
"EPA","Healthy Watersheds Consortium Grant Program","66.441"
"EPA","Hydrofluorocarbon Reclaim and Innovative Destruction Grants","66.047"
"EPA","Indian Environmental General Assistance Program (GAP)","66.926"
"EPA","Innovative Water Infrastructure Workforce Development Program (SDWA 1459E)","66.445"
"EPA","Innovative Water Technology Grant Program","66.521"
"EPA","International Compliance and Enforcement Projects","66.313"
"EPA","International Financial Assistance Projects Sponsored by the Office of International and Tribal Affairs","66.931"
"EPA","Internships, Training, and Workshops for the Environmental Protection Agency's (EPA) Office of Air and Radiation","66.037"
"EPA","Leaking Underground Storage Tank Trust Fund Corrective Action Program","66.805"
"EPA","Multipurpose Grants to States and Tribes","66.204"
"EPA","National Environmental Education Training Program","66.95"
"EPA","National Estuary Program","66.456"
"EPA","National Wetland Program Development Grants and Five- Star Restoration Training Grant","66.462"
"EPA","Nonpoint Source Implementation Grants","66.46"
"EPA","Non-State Member Support for the Gulf Hypoxia Action Plan","66.487"
"EPA","Office of Research and Development Consolidated Research/Training/Fellowships","66.511"
"EPA","Ozone Transport Commission","66.033"
"EPA","P3 Award: National Student Design Competition for Sustainability","66.516"
"EPA","Performance Partnership Grants","66.605"
"EPA","Pesticide Environmental Stewardship Program (PESP) Grants","66.714"
"EPA","Pollution Prevention Grants Program","66.708"
"EPA","PRIA 5: Farm Worker and Health Care Provider Training and Education Grants","66.72"
"EPA","Protection of Children from Environmental Health Risks","66.609"
"EPA","Reduce, Reuse, Recycling Education and Outreach Grants","66.921"
"EPA","Reducing Embodied Greenhouse Gas Emissions for Construction Materials and Products","66.721"
"EPA","Reducing Lead in Drinking Water (SDWA 1459B)","66.443"
"EPA","Regional Applied Research Efforts (RARE)","66.517"
"EPA","Regional Wetland Program Development Grants","66.461"
"EPA","Research, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies","66.716"
"EPA","Response to Emergency Situations Affecting Public Water Systems (SDWA 1442b)","66.489"
"EPA","Science To Achieve Results (STAR) Research Program","66.509"
"EPA","Senior Environmental Employment Program","66.508"
"EPA","Sewer Overflow and Stormwater Reuse Municipal Grant Program","66.447"
"EPA","Solid Waste Infrastructure for Recycling Infrastructure Grants","66.92"
"EPA","Solid Waste Management Assistance Grants","66.808"
"EPA","Source Reduction Assistance","66.717"
"EPA","State and Tribal Indoor Radon Grants","66.032"
"EPA","State and Tribal Response Program Grants","66.817"
"EPA","State Programs for Control of Coal Combustion Residuals","66.82"
"EPA","State Public Water System Supervision","66.432"
"EPA","State Senior Environmental Employment Program","66.518"
"EPA","State Underground Water Source Protection","66.433"
"EPA","Superfund State and Indian Tribe Combined Cooperative Agreements (Site-Specific and Core)","66.961"
"EPA","Superfund State and Indian Tribe Core Program Cooperative Agreements","66.809"
"EPA","Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements","66.802"
"EPA","Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites","66.806"
"EPA","Support for the Gulf Hypoxia Action Plan","66.485"
"EPA","Surveys, Studies, Investigations and Special Purpose Grants within the Office of Research and Development","66.51"
"EPA","Surveys, Studies, Investigations and Special Purpose Grants within the Office of the Administrator","66.61"
"EPA","Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act","66.424"
"EPA","Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act","66.436"
"EPA","Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act Air and Radiation","66.034"
"EPA","Targeted Airshed Grant Program","66.956"
"EPA","Technical Assistance for Treatment Works (Clean Water Act [CWA] Section 104(b)(8))","66.446"
"EPA","Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program","66.042"
"EPA","Toxic Substances Compliance Monitoring Cooperative Agreements","66.701"
"EPA","Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality","66.038"
"EPA","TSCA Title IV State Lead Grants Certification of Lead-Based Paint Professionals","66.707"
"EPA","Underground Injection Control Program Grants: Class VI Carbon Sequestration Wells","66.486"
"EPA","Underground Storage Tank (UST) Prevention, Detection, and Compliance Program","66.804"
"EPA","Urban Waters Small Grants","66.44"
"EPA","Voluntary School and Child Care Lead Testing and Reduction Grant Program (SDWA 1464(d))","66.444"
"EPA","Water Infrastructure Improvements for the Nation Small and Underserved Communities Emerging Contaminants Grant Program","66.442"
"EPA","Water Pollution Control State, Interstate, and Tribal Program Support","66.419"
"EPA","Water Quality Management Planning","66.454"
"EPA","Wildfire Smoke Preparedness in Community Buildings Grant Program","66.044"
"EPA","Clean Water State Revolving Fund","66.458"
"EPA","Drinking Water State Revolving Fund","66.468"
"EPA","Water Infrastructure Finance and Innovation Act Program (WIFIA) - Loans","66.958"
"EPA","Clean School Bus Program - Grants and Rebates","66.045"
"EPA","Pesticide Registration Improvement Act Employee Training","66.722"
"EXIM","Cash-Control Disbursements","31.007"
"EXIM","Long-Term Authorizations","31.007"
"EXIM","Medium-Term Authorizations","31.007"
"EXIM","Short-Term Authorizations","31.007"
"FCC","FCC Affordable Connectivity Program (ACP)","32.008"
"FCC","FCC Affordable Connectivity Program Outreach Grants","32.011"
"FCC","FCC Emergency Connectivity Fund (ECF)","32.009"
"FCC","FCC Secured & Trusted Communications Network Reimbursement Program (STCNRP)","32.01"
"FCC","Universal Service Fund - High Cost Legacy","32.002"
"FCC","Universal Service Fund - High Cost Modernized","32.002"
"FCC","Universal Service Fund – Lifeline","32.003"
"FCC","Universal Service Fund - Rural Health Care","32.005"
"FCC","Universal Service Fund - Schools and Libraries","32.004"
"FCC","Universal Service Fund - Connected Care Pilot Program","32.007"
"FCC","Universal Service Fund – Cybersecurity Pilot Program","32.012"
"GCRC","Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component Program","87.051"
"GCRC","Gulf Coast Ecosystem Restoration Council Oil Spill Impact Program","87.052"
"GSA","Disposal of Federal Surplus Real Property","39.002"
"GSA","Donation of Federal Surplus Personal Property","39.003"
"GSA","Sale of Federal Surplus Personal Property","39.007"
"HHS","Administration for Children and Families (ACF) - Adoption and Legal Guardianship Incentive Payments Program","93.603"
"HHS","Administration for Children and Families (ACF) - Adoption Assistance","93.659"
"HHS","Administration for Children and Families (ACF) - Adoption Opportunities","93.652"
"HHS","Administration for Children and Families (ACF) - Affordable Care Act (ACA) Personal Responsibility Education Program","93.092"
"HHS","Administration for Children and Families (ACF) - Assistance for Torture Victims","93.604"
"HHS","Administration for Children and Families (ACF) - Basic Center Grant","93.623"
"HHS","Administration for Children and Families (ACF) - Chafee Education and Training Vouchers Program (ETV)","93.599"
"HHS","Administration for Children and Families (ACF) - Child Abuse and Neglect Discretionary Activities","93.67"
"HHS","Administration for Children and Families (ACF) - Child Abuse and Neglect State Grants","93.669"
"HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","93.575"
"HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","93.596"
"HHS","Administration for Children and Families (ACF) - Child Support Services","93.563"
"HHS","Administration for Children and Families (ACF) - Child Support Services Research","93.564"
"HHS","Administration for Children and Families (ACF) - Child Welfare Research Training or Demonstration","93.648"
"HHS","Administration for Children and Families (ACF) - Children's Justice Grants to States","93.643"
"HHS","Administration for Children and Families (ACF) - Community Services Block Grant","93.569"
"HHS","Administration for Children and Families (ACF) - Community Services Block Grant Discretionary Awards","93.57"
"HHS","Administration for Children and Families (ACF) - Community-Based Child Abuse Prevention Grants","93.59"
"HHS","Administration for Children and Families (ACF) - Congressional Directives","93.493"
"HHS","Administration for Children and Families (ACF) - Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","93.557"
"HHS","Administration for Children and Families (ACF) - Enhance Safety of Children Affected by Substance Abuse","93.087"
"HHS","Administration for Children and Families (ACF) - Every Student Succeeds Act/Preschool Development Grants","93.434"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Discretionary","93.592"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services","93.671"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services","93.591"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services","93.592"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/State Domestic Violence Coalitions","93.591"
"HHS","Administration for Children and Families (ACF) - Foster Care Title IV-E","93.658"
"HHS","Administration for Children and Families (ACF) - Grants to States for Access and Visitation Programs","93.597"
"HHS","Administration for Children and Families (ACF) - Grants to States for Access and Visitation Programs","93.597"
"HHS","Administration for Children and Families (ACF) - Grants to Support Survivors of Sexual Assault (American Rescue Plan)","93.497"
"HHS","Administration for Children and Families (ACF) - Guardianship Assistance","93.09"
"HHS","Administration for Children and Families (ACF) - Head Start","93.6"
"HHS","Administration for Children and Families (ACF) - Healthy Marriage Promotion and Responsible Fatherhood Grants","93.086"
"HHS","Administration for Children and Families (ACF) - John H. Chafee Foster Care Program for Successful Transition to Adulthood","93.674"
"HHS","Administration for Children and Families (ACF) - Low-Income Home Energy Assistance","93.568"
"HHS","Administration for Children and Families (ACF) - MaryLee Allen Promoting Safe and Stable Families Program","93.556"
"HHS","Administration for Children and Families (ACF) - Native American Programs","93.612"
"HHS","Administration for Children and Families (ACF) - Native American Programs","93.581"
"HHS","Administration for Children and Families (ACF) - Native American Programs","93.587"
"HHS","Administration for Children and Families (ACF) - Payments to Territories - Adults","93.56"
"HHS","Administration for Children and Families (ACF) - Promote the Survival and Continuing Vitality of Native American Languages","93.587"
"HHS","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Discretionary Grants","93.576"
"HHS","Administration for Children and Families (ACF) - Refugee and Entrant Assistance State/Replacement Designee Administered Programs","93.566"
"HHS","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Voluntary Agency Programs","93.567"
"HHS","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Wilson/Fish Program","93.583"
"HHS","Administration for Children and Families (ACF) - Services to Victims of a Severe Form of Trafficking","93.598"
"HHS","Administration for Children and Families (ACF) - Sexual Risk Avoidance Education","93.06"
"HHS","Administration for Children and Families (ACF) - Social Services Block Grant","93.667"
"HHS","Administration for Children and Families (ACF) - Social Services Research and Demonstration","93.647"
"HHS","Administration for Children and Families (ACF) - State Court Improvement Program","93.586"
"HHS","Administration for Children and Families (ACF) - Stephanie Tubbs Jones Child Welfare Services Program","93.645"
"HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","93.558"
"HHS","Administration for Children and Families (ACF) - Title IV-E Kinship Navigator Program","93.471"
"HHS","Administration for Children and Families (ACF) - Title IV-E Prevention Program","93.472"
"HHS","Administration for Children and Families (ACF) - Title V Sexual Risk Avoidance Education Program (Discretionary Grants)","93.787"
"HHS","Administration for Children and Families (ACF) - Title V State Sexual Risk Avoidance Education (Title V State SRAE) Program","93.235"
"HHS","Administration for Children and Families (ACF) - Transitional Living for Homeless Youth","93.55"
"HHS","Administration for Children and Families (ACF) - Tribal Maternal, Infant, and Early Childhood Home Visiting","93.872"
"HHS","Administration for Children and Families (ACF) - Unaccompanied Alien Children Program","93.676"
"HHS","Administration for Community Living (ACL) - Aging Programs","93.072"
"HHS","Administration for Community Living (ACL) - Aging Programs","93.747"
"HHS","Administration for Community Living (ACL) - Aging Programs","93.041"
"HHS","Administration for Community Living (ACL) - Alzheimers Programs","93.47"
